scientific,common_name,commercial_group_id,woo,x_min,y_min,commercial_group,functional_group,y_max,k,tl,taxon_level_id,min_depth,scientific_name,has_map,taxon_group_id,max_depth,lat_south,sl_max_cm,functional_group_id,is_baltic_only,has_habitat_index,taxon_key,isscaap_id,x_max,loo,lat_north,coral,abyssal,shelf,offshore,seamount,others,seagrass,slope,habitat_diversity_index,offshore_back,inshore,effective_d,estuaries
Serranus merra,Honeycomb grouper,3,271.0,,,Perch-likes,Small reef assoc. fish (<30 cm),,0.41,3.82,6,1,Epinephelus merra,False,1,50,-35,27.0,16,False,True,604923,33,,27.25,35,0.75,0.0,0.5,0.75,0.0,0.5,0.0,0.0,0.4,NA,0.5,29.7,0.0
Serranus mystacinus,Misty grouper,3,37027.0,,,Perch-likes,Large bathydemersals (>=90 cm),,0.08,4.58,6,30,Hyporthodus mystacinus,True,1,400,-5,131.0,12,False,True,601206,33,,131.2,35,0.0,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.4,NA,0.5,45.3,0.0
Serranus stilbostigma
Serranus taeniocheirus,Brownmarbled grouper,3,11946.0,,,Perch-likes,Large reef assoc. fish (>=90 cm),,0.18,4.14,6,1,Epinephelus fuscoguttatus,False,1,60,-27,101.0,18,False,True,604460,33,,100.55,35,0.75,0.0,0.5,0.0,0.0,0.5,0.5,0.0,0.6,NA,0.5,71.2,0.0
Serranus aequidens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus anthias,Swallowtail seaperch,3,164.0,-20,-29,Perch-likes,Small reef assoc. fish (<30 cm),50,0.33,3.98,6,10,Anthias anthias,True,1,300,-28,27.0,16,False,True,601692,33,39,27.0,72,0.5,0.0,0.5,0.5,0.5,0.5,0.0,0.5,0.6,NA,0.5,53.4,0.0
Serranus urophthalmus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus pavoninus,Johns snapper,3,5197.0,25,-22,Perch-likes,Medium reef assoc. fish (30 - 89 cm),32,0.18,4.2,6,1,Lutjanus johnii,True,1,80,-23,80.0,17,False,True,600264,33,180,79.54,31,0.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.4,NA,0.5,30.4,0.5
Serranus radialis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus fusculus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus lamprurus,Yellow snapper,3,2818.0,-123,-19,Perch-likes,Medium reef assoc. fish (30 - 89 cm),38,0.16,4.07,6,3,Lutjanus argentiventris,False,1,60,-18,58.0,17,False,True,601408,33,-70,58.22,35,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Serranus tigrinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus latifasciatus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus tumilebris,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus tigris,Tiger grouper,3,9132.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.11,4.5,6,10,Mycteroperca tigris,False,1,40,-30,85.0,17,False,True,601215,33,,85.42,35,0.5,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.4,NA,0.5,30.4,0.0
Serranus socialis,Surge grouper,3,1011.0,,,Perch-likes,Medium reef assoc. fish (30 - 89 cm),,0.21,4.18,6,1,Epinephelus socialis,False,1,3,-35,43.0,17,False,True,607362,33,,42.64,30,0.5,0.0,0.5,0.75,0.0,0.5,0.0,0.0,0.4,NA,0.25,28.6,0.0
Serranus heterurus
Serranus flavocoeruleus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus inermis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus novemcinctus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus maytagi
Serranus accraensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus poecilonotus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Serranus viridipinnis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
