eez,key,scientific,entity_id
516,Perch-likes,Perciformes,300060
516,Dogfish sharks,Squalidae,400013
516,Whiptail stingrays,Dasyatidae,400020
516,Southern bluefin tuna,Thunnus maccoyii,600145
516,Toothed seabreams,Dentex,500809
516,Snoek,Thyrsites atun,600489
516,Round sardinella,Sardinella aurita,601043
516,"Clams, seasnails, squids, octopuses",Mollusca,190195
516,Swordfish,Xiphias gladius,600226
516,Angola dentex,Dentex angolensis,600440
516,Steenbrases,Lithognathus,501550
516,"Mullets, grey mullets",Mugilidae,400359
516,Bigeye thresher,Alopias superciliosus,602534
516,Devil anglerfish,Lophius vomerinus,610256
516,"Marine crabs, shrimps, lobsters nei",Miscellaneous marine crustaceans,100047
516,Whiteheads round herring,Etrumeus whiteheadi,601456
516,Blue marlin,Makaira nigricans,600216
516,Common dolphinfish,Coryphaena hippurus,600006
516,Southern African anchovy,Engraulis capensis,601661
516,Thresher sharks,Alopias,500639
516,Silver scabbardfish,Lepidopus caudatus,600645
516,Sandbar shark,Carcharhinus plumbeus,600880
516,Longbill spearfish,Tetrapturus pfluegeri,600220
516,Largeeye dentex,Dentex macrophthalmus,600438
516,Tiger shark,Galeocerdo cuvier,600886
516,Lanternsharks,Etmopterus,500642
516,Aquatic invertebrates,Miscellaneous aquatic invertebrates,100077
516,Threadfins,Polynemidae,400361
516,Longfin bonefish,Pterothrissus belloci,600229
516,Yellowfin tuna,Thunnus albacares,600143
516,Pacific sardine,Sardinops sagax,601477
516,Others,,
516,Tunas,Thunnus,501905
516,Scads,Decapterus,502102
516,Oreos,Oreosomatidae,400250
516,Porbeagle,Lamna nasus,600088
516,Great hammerhead,Sphyrna mokarran,600914
516,Bigeye tuna,Thunnus obesus,600146
516,European squid,Loligo vulgaris,690067
516,Soles,Austroglossus,505799
516,Requiem sharks,Carcharhinidae,400011
516,Atlantic sailfish,Istiophorus albicans,600078
516,Little tunny,Euthynnus alletteratus,600097
516,Cods,Gadiformes,300044
516,Skates and rays,Rajiformes,300014
516,Sardinellas,Sardinella,501940
516,Blue butterfish,Stromateus fiatola,601198
516,"Jacks, pompanos",Carangidae,400314
516,Blue shark,Prionace glauca,600898
516,Greeneyes,Chlorophthalmidae,400163
516,Orange roughy,Hoplostethus atlanticus,600334
516,Hectors lanternfish,Lampanyctodes hectoris,600259
516,"Armored searobins, gurnards",Peristediidae,400581
516,"Drums, croakers",Sciaenidae,400331
516,"Conger, garden eels",Congridae,400062
516,Hairtails,Trichiurus,500114
516,Ocean sunfish,Mola mola,601732
516,Atlantic bonito,Sarda sarda,600115
516,Smooth-hound,Mustelus mustelus,604996
516,Subtropical seabreams,Pagrus,500903
516,Hakes,Merluccius,500654
516,Bullet tuna,Auxis rochei,600093
516,Scalloped hammerhead,Sphyrna lewini,600912
516,Two-toothed seabreams,Diplodus,500705
516,Portuguese dogfish,Centroscymnus coelolepis,600662
516,Scarlet shrimp,Plesiopenaeus edwardsianus,690343
516,Largehead hairtail,Trichiurus lepturus,601288
516,Smooth oreo dory,Pseudocyttus maculatus,607151
516,Copper shark,Carcharhinus brachyurus,600864
516,Alfonsinos,Beryx,501129
516,"Grunts, sweetlips, bonnetmouths",Haemulidae,400327
516,Atlantic pomfret,Brama brama,600391
516,Southern spiny lobster,Palinurus gilchristi,690381
516,Red pandora,Pagellus bellottii,600436
516,John dory,Zeus faber,601370
516,Thresher,Alopias vulpinus,602535
516,Black cardinal fish,Epigonus telescopus,602508
516,Cunene horse mackerel,Trachurus trecae,600371
516,Cutlassfishes,Trichiuridae,400415
516,Tope shark,Galeorhinus galeus,604642
516,Shortbill spearfish,Tetrapturus angustirostris,603915
516,"Crabs, lobsters, shrimps",Decapoda,390013
516,"Hammer, bonnet, scoophead sharks",Sphyrnidae,400012
516,"Cnidarians, coelenterates",Cnidaria,190196
598,Silky shark,Carcharhinus falciformis,600868
598,Albacore,Thunnus alalunga,600142
598,Smelt-whitings,Sillago,500891
598,"Porgies, seabreams",Sparidae,400330
598,Tiger shark,Galeocerdo cuvier,600886
598,Others,,
598,Chub mackerels,Scomber,500142
598,Snappers,Lutjanus,500357
598,Cobias,Rachycentridae,400312
598,Rainbow runner,Elagatis bipinnulata,600412
598,Hammerhead sharks,Sphyrna,500693
598,Billfishes,Istiophoridae,400419
598,Wolf herrings,Chirocentrus,500856
598,"Sharks, rays, skates",Elasmobranchii,200004
598,Clams,Bivalvia,290004
598,Trochus,Trochus,590195
598,"Sharks, rays, chimaeras",Chondrichthyes,200538
598,Scads,Decapterus,502102
598,"Lobsters, crabs, shrimps, krill",Malacostraca,290022
598,Parrotfishes,Scaridae,400364
598,Striped marlin,Kajikia audax,600223
598,"Wrasses, gropers, tuskfishes",Labridae,400362
598,Spiny lobsters,Panulirus,590083
598,False trevally,Lactarius lactarius,600363
598,Flatfishes,Pleuronectiformes,300061
598,Indo-Pacific swamp crab,Scylla serrata,690190
598,Ponyfishes,Leiognathus,500515
598,"Herrings, shads, anchovies",Clupeiformes,300028
598,Skipjack tuna,Katsuwonus pelamis,600107
598,Squids,Teuthida,390002
598,Indian pellona,Pellona ditchela,601641
598,"Scorpionfishes, rockfishes",Scorpaenidae,400264
598,"Basses, groupers, hinds",Serranidae,400289
598,Giant clam,Tridacna gigas,690147
598,"Mackerels, tunas, bonitos",Scombridae,400416
598,Jobfishes,Pristipomoides,502124
598,Perch-likes,Perciformes,300060
598,Sicklefishes,Drepane,501241
598,Garment anchovies,Stolephorus,507720
598,Mangrove red snapper,Lutjanus argentimaculatus,601407
598,Cuttlefishes,Sepiidae,490011
598,"Clams, seasnails, squids, octopuses",Mollusca,190195
598,Black marlin,Istiompax indica,600217
598,Thresher sharks,Alopias,500639
598,Barramundi,Lates calcarifer,600346
598,"Mullets, grey mullets",Mugilidae,400359
598,"Marine crabs, shrimps, lobsters nei",Miscellaneous marine crustaceans,100047
598,Indian mackerels,Rastrelliger,505469
598,Jacks,Caranx,500467
598,Kelee shad,Hilsa kelee,601595
598,Common dolphinfish,Coryphaena hippurus,600006
598,Swordfish,Xiphias gladius,600226
598,Mother of pearl oysters,Pinctada,590160
598,"Sea urchins, stars, cucumbers",Echinodermata,190277
598,"Seabasses, hinds",Epinephelus,500366
598,"Slipmouths, ponyfishes",Leiognathidae,400318
598,Sepia cuttlefishes,Sepia,590011
598,Yellowfin tuna,Thunnus albacares,600143
598,Queenfishes,Scomberoides,500468
598,Spanish mackerels,Scomberomorus,500487
598,"Octopuses, argonauts",Octopoda,390007
598,Bigeye tuna,Thunnus obesus,600146
598,Indo-Pacific prawns,Metapenaeus,590091
598,Common pencil squids,Loliginidae,490010
598,Requiem sharks,Carcharhinidae,400011
598,Oceanic whitetip shark,Carcharhinus longimanus,600875
598,Shortfin mako,Isurus oxyrinchus,600752
598,Goatfishes,Mullidae,400332
598,Lefteye flounders,Bothidae,400439
598,"Jacks, pompanos",Carangidae,400314
598,Blue shark,Prionace glauca,600898
598,Wahoo,Acanthocybium solandri,600089
598,Giant tiger prawn,Penaeus monodon,690151
598,Pacific bluefin tuna,Thunnus orientalis,614290
598,Threadfin breams,Nemipterus,501552
598,"Emperors, scavengers",Lethrinidae,400328
598,Banana prawn,Fenneropenaeus merguiensis,690042
598,"Drums, croakers",Sciaenidae,400331
598,"Conger, garden eels",Congridae,400062
598,Mako sharks,Isurus,500638
598,"Surgeons, tangs, unicornfishes",Acanthuridae,400412
598,"Grunters, tigerperches",Terapontidae,400299
598,Amberjacks,Seriola,500928
598,Sea snails,Gastropoda,290006
598,Chacunda gizzard shad,Anodontostoma chacunda,601619
598,Fleshy sea cucumbers,Holothuriidae,490132
598,Upeneid goatfishes,Upeneus,501132
598,Hairtails,Trichiurus,500114
598,"Herrings, sardines, menhadens",Clupeidae,400043
598,Cutlassfishes,Trichiuridae,400415
598,Eel catfishes,Plotosus,500551
598,Bullet and frigate tunas,Auxis,501163
598,"Crabs, lobsters, shrimps",Decapoda,390013
8,Blue shark,Prionace glauca,600898
8,Bogue,Boops boops,600203
8,Piked dogfish,Squalus acanthias,600139
8,Salema,Sarpa salpa,600204
8,Angel sharks,Squatinidae,400015
8,European anchovy,Engraulis encrasicolus,600066
8,Sandbar shark,Carcharhinus plumbeus,600880
8,European eel,Anguilla anguilla,600035
8,Wahoo,Acanthocybium solandri,600089
8,Deepwater rose shrimp,Parapenaeus longirostris,690109
8,Great white shark,Carcharodon carcharias,600751
8,Blackmouth catshark,Galeus melastomus,600807
8,Wreckfish,Polyprion americanus,600349
8,Others,,
8,Atlantic pomfret,Brama brama,600391
8,Common cuttlefish,Sepia officinalis,690085
8,Chub mackerels,Scomber,500142
8,Frogfishes,Lophius,500112
8,Common dentex,Dentex dentex,600439
8,Mediterranean spearfish,Tetrapturus belone,601823
8,Common dolphinfish,Coryphaena hippurus,600006
8,Picarels,Spicara,500679
8,Swordfish,Xiphias gladius,600226
8,Smooth hammerhead,Sphyrna zygaena,600917
8,Atlantic bonito,Sarda sarda,600115
8,Stony sea urchin,Paracentrotus lividus,690400
8,Bluntnose sixgill shark,Hexanchus griseus,600637
8,Dogfishes,Squalus,500107
8,Blue and red shrimp,Aristeus antennatus,690051
8,Bullet tuna,Auxis rochei,600093
8,Silver scabbardfish,Lepidopus caudatus,600645
8,"Searobins, gurnards",Triglidae,400266
8,Blue whiting,Micromesistius poutassou,600031
8,Skipjack tuna,Katsuwonus pelamis,600107
8,"Seabasses, hinds",Epinephelus,500366
8,Starry smooth-hound,Mustelus asterias,605938
8,Smooth-hound,Mustelus mustelus,604996
8,European conger,Conger conger,600301
8,Striped venus,Chamelea gallina,690404
8,Sawtail catsharks,Galeus,500640
8,Thresher,Alopias vulpinus,602535
8,Porbeagle,Lamna nasus,600088
8,European flounder,Platichthys flesus,601341
8,European pilchard,Sardina pilchardus,601350
8,Frigate tuna,Auxis thazard,600094
8,Common octopus,Octopus vulgaris,690088
8,John dory,Zeus faber,601370
8,"Mackerels, tunas, bonitos",Scombridae,400416
8,Mediterranean mussel,Mytilus galloprovincialis,690241
8,Smallspotted catshark,Scyliorhinus canicula,600845
8,Common squids,Loligo,590010
8,Greater amberjack,Seriola dumerili,601005
8,Nursehound,Scyliorhinus stellaris,600854
8,"Sharks, rays, chimaeras",Chondrichthyes,200538
8,Little tunny,Euthynnus alletteratus,600097
8,Norway lobster,Nephrops norvegicus,690273
8,Shortfin mako,Isurus oxyrinchus,600752
8,"Mullets, grey mullets",Mugilidae,400359
8,Atlantic bluefin tuna,Thunnus thynnus,600147
8,Round sardinella,Sardinella aurita,601043
940,"Jacks, pompanos",Carangidae,400314
940,"Barracudas, sennets",Sphyraena,500372
940,"Mackerels, tunas, bonitos",Scombridae,400416
940,Others,,
12,Black scorpionfish,Scorpaena porcus,601758
12,Sand tiger shark,Carcharias taurus,600747
12,Saddled seabream,Oblada melanura,600850
12,European anchovy,Engraulis encrasicolus,600066
12,Blue skate,Dipturus batis,602058
12,Electric rays,Torpedinidae,400018
12,Scorpionfishes,Scorpaena,500134
12,Gulper shark,Centrophorus granulosus,600648
12,Goatfishes,Mullidae,400332
12,Spanish mackerels,Scomberomorus,500487
12,Deepwater cardinalfishes,Epigonus,500716
12,Wahoo,Acanthocybium solandri,600089
12,Blueleg swimcrab,Liocarcinus depurator,690676
12,Bluntnose sixgill shark,Hexanchus griseus,600637
12,Smooth hammerhead,Sphyrna zygaena,600917
12,Broadtail shortfin squid,Illex coindetii,690059
12,Oilfish,Ruvettus pretiosus,601044
12,Red bandfish,Cepola macrophthalma,600056
12,Frigate tuna,Auxis thazard,600094
12,European seabass,Dicentrarchus labrax,600063
12,Atlantic goatfishes,Mullus,500143
12,Dogfishes,Squalus,500107
12,Blue and red shrimp,Aristeus antennatus,690051
12,Tiger shark,Galeocerdo cuvier,600886
12,Red scorpionfish,Scorpaena scrofa,601759
12,Lanternsharks,Etmopterus,500642
12,Weeverfishes,Trachinidae,400377
12,Chub mackerels,Scomber,500142
12,Common Atlantic grenadier,Nezumia aequalis,604997
12,Sharp-nosed sharks,Carcharhinus,500816
12,Blacktip shark,Carcharhinus limbatus,600874
12,"Codlings, moras",Moridae,400180
12,Angler,Lophius piscatorius,600716
12,Common shrimp,Crangon crangon,690091
12,Opah,Lampris guttatus,601072
12,Hammerhead sharks,Sphyrna,500693
12,Billfishes,Istiophoridae,400419
12,Rabbit fish,Chimaera monstrosa,602503
12,Sand steenbras,Lithognathus mormyrus,600706
12,"Sharks, rays, skates",Elasmobranchii,200004
12,Norway lobster,Nephrops norvegicus,690273
12,Longspine snipefish,Macroramphosus scolopax,600333
12,"Gunnels, forkbeards",Phycis,509303
12,Mackerel/white sharks,Lamnidae,400009
12,"Sharks, rays, chimaeras",Chondrichthyes,200538
12,Mediterranean scaldfish,Arnoglossus laterna,600041
12,Common spiny lobster,Palinurus elephas,690092
12,"Mullets, grey mullets",Mugilidae,400359
12,Atlantic bluefin tuna,Thunnus thynnus,600147
12,Smoothhounds,Mustelus,500348
12,Argentines,Argentina,500147
12,Common stingray,Dasyatis pastinaca,602060
12,Angelshark,Squatina squatina,600736
12,"Horned, musky octopuses",Eledone,590024
12,Leerfish,Lichia amia,600692
12,Blackbelly rosefish,Helicolenus dactylopterus,600076
12,Atlantic saury,Scomberesox saurus saurus,601084
12,Spiny lobsters,Palinuridae,490039
12,"Grenadiers, rattails",Macrouridae,400185
12,Greater forkbeard,Phycis blennoides,601340
12,Mediterranean moray,Muraena helena,601729
12,Axillary seabream,Pagellus acarne,600889
12,Annular seabream,Diplodus annularis,601752
12,Starry smooth-hound,Mustelus asterias,605938
12,Greater amberjack,Seriola dumerili,601005
12,"Tunas, bonitos, billfishes",Scombroidea,300036
12,Pandoras,Pagellus,501145
12,Gobies,Gobiidae,400405
