"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","species","country","localities","source","commercial.group","functional.group","group.level","group.match","canonical","worldbank","NAME_CIAWF","CONTINENT","included"
0,0,0,0,100,100,100,100,0,0,0,0,"Acanthocybium solandri","USA","Northern Gulf of Mexico","Fishbase","Perch-likes","Large pelagics (>=90 cm)","scientific",1,"United States","United States","United States","North America",FALSE
0,0,0,0,100,100,100,100,100,100,0,0,"Acanthocybium solandri","USA","Straits of Florida","Fishbase","Perch-likes","Large pelagics (>=90 cm)","scientific",1,"United States","United States","United States","North America",FALSE
0,0,0,0,100,100,100,100,100,100,0,0,"Acanthocybium solandri","Mexico","Straits of Yucatan","Fishbase","Perch-likes","Large pelagics (>=90 cm)","scientific",1,"Mexico","Mexico","Mexico","North America",FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Acanthopagrus berda","South Africa","Kosi estuary","Fishbase","Perch-likes","Medium demersals (30 - 89 cm)","scientific",1,"South Africa","South Africa","South Africa","Africa",TRUE
0,0,0,0,100,100,100,100,0,0,0,0,"Acanthopagrus berda","South Africa","South Africa","Fishbase","Perch-likes","Medium demersals (30 - 89 cm)","scientific",1,"South Africa","South Africa","South Africa","Africa",TRUE
100,100,100,100,0,0,0,0,0,0,0,0,"Acanthopagrus bifasciatus","United Arab Em.","off Abu Dhabi, 2000-2003","Fishbase","Perch-likes","Medium reef assoc. fish (30 - 89 cm)","scientific",1,"United Arab Emirates","United Arab Emirates","United Arab Emirates","Asia",TRUE
0,100,100,100,100,0,0,0,0,0,0,0,"Acanthopagrus schlegelii","China","coastal waters to the north of Hong Kong","Fishbase","Perch-likes","Medium demersals (30 - 89 cm)","scientific",1,"China","China","China","Asia",TRUE
0,0,100,100,100,100,0,0,0,0,0,0,"Acanthopagrus schlegelii","Japan","not stated","Fishbase","Perch-likes","Medium demersals (30 - 89 cm)","scientific",1,"Japan","Japan","Japan","Asia",TRUE
0,0,0,100,100,100,0,0,0,0,0,0,"Acanthopagrus schlegelii","Japan","Tokyo Bay","Fishbase","Perch-likes","Medium demersals (30 - 89 cm)","scientific",1,"Japan","Japan","Japan","Asia",TRUE
0,0,0,0,0,0,0,0,0,0,100,100,"Acanthopagrus schlegelii","Hong Kong","Tolo Harbour","Fishbase","Perch-likes","Medium demersals (30 - 89 cm)","scientific",1,"China","China","China","Asia",TRUE
100,100,100,100,100,100,100,100,100,100,100,100,"Acanthurus flavescens","Hawaii","west coast (19°42' N; 156°03' W) (May 2006-April 2007)","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,"Hawaii","United States","United States","North America",FALSE
100,100,100,100,100,100,100,100,100,100,100,100,"Acanthurus lineatus","American Samoa","Afao, Tutuila Island","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","scientific",1,"American Samoa","American Samoa","American Samoa","Oceania",TRUE
0,0,0,0,0,0,100,0,0,0,0,0,"Acanthurus nigricauda","Micronesia","Pohnpei State (Jul-Aug 2016)","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","scientific",1,"Micronesia","Micronesia, Fed. Sts.","Micronesia, Fed. Sts.","Oceania",TRUE
1,1,1,2,2,4,6,3,1,1,0,0,"Acanthurus nigrofuscus","Israel","Larome Beach (April 1981-May 1984)","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","scientific",1,"Israel","Israel","Israel","Asia",TRUE
0,0,0,0,100,100,100,100,0,0,0,0,"Acanthurus triostegus","Palau","to be filled","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","scientific",1,"Palau","Palau","Palau","Oceania",TRUE
100,100,100,100,100,100,100,100,100,100,100,100,"Acanthurus vittatus","American Samoa","Afao, Tutuila Island","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,"American Samoa","American Samoa","American Samoa","Oceania",TRUE
100,100,100,100,100,0,0,0,0,0,0,0,"Acanthurus xanthopterus","Palau","not specified","Fishbase","Perch-likes","Medium reef assoc. fish (30 - 89 cm)","scientific",1,"Palau","Palau","Palau","Oceania",TRUE
0,0,0,0,100,100,100,100,0,0,0,0,"Acanthurus zebra","Palau","to be filled","Fishbase","Perch-likes","Small reef assoc. fish (<30 cm)","genus",1,"Palau","Palau","Palau","Oceania",FALSE
0,0,0,0,0,100,100,100,100,100,100,0,"Achirus bilineatus","Indonesia","Mayangan Coast, West Java, May-November 2003","Fishbase","Flatfishes","Small to medium flatfishes (<90 cm)","genus",1,"Indonesia","Indonesia","Indonesia","Asia",FALSE
0,0,0,0,100,100,100,100,0,0,0,0,"Achirus fasciatus","USA","Chesapeake Bay","Fishbase","Flatfishes","Small to medium flatfishes (<90 cm)","genus",1,"United States","United States","United States","North America",TRUE
0,0,0,0,0,0,0,100,0,0,0,0,"Achirus fasciatus","USA","Delaware Bay","Fishbase","Flatfishes","Small to medium flatfishes (<90 cm)","genus",1,"United States","United States","United States","North America",TRUE
0,0,0,0,100,100,100,100,0,0,0,0,"Achirus fasciatus","USA","Gulf of Maine","Fishbase","Flatfishes","Small to medium flatfishes (<90 cm)","genus",1,"United States","United States","United States","North America",TRUE
0,0,0,0,0,0,100,0,0,0,0,0,"Achirus fasciatus","USA","Hudson River, New York","Fishbase","Flatfishes","Small to medium flatfishes (<90 cm)","genus",1,"United States","United States","United States","North America",FALSE
0,0,0,0,0,100,100,100,100,0,0,0,"Achirus fasciatus","USA","Patuxent River estuary, Maryland","Fishbase","Flatfishes","Small to medium flatfishes (<90 cm)","genus",1,"United States","United States","United States","North America",FALSE
0,0,0,0,0,0,100,100,100,0,0,0,"Achirus maculipinnis gunteri",NA,"Western Central Atlantic","Fishbase","Flatfishes","Small to medium flatfishes (<90 cm)","genus",1,NA,NA,NA,NA,FALSE
0,0,0,0,0,100,100,0,0,0,0,0,"Acipenser baerii","Russia","Enisey river","Fishbase","Other fishes & inverts","Large demersals (>=90 cm)","scientific",1,"Russia","Russian Federation","Russia","Europe",FALSE
0,0,0,0,0,100,100,0,0,0,0,0,"Acipenser baerii","","Ob","Fishbase","Other fishes & inverts","Large demersals (>=90 cm)","scientific",1,"","","",NA,FALSE
0,0,0,0,100,100,0,0,0,0,0,0,"Acipenser baerii","Russia","Siberian rivers; in strong currents.","Fishbase","Other fishes & inverts","Large demersals (>=90 cm)","scientific",1,"Russia","Russian Federation","Russia","Europe",FALSE
0,100,100,100,100,0,0,0,0,0,0,0,"Agonus cataphractus","","North Sea","Fishbase","Perch-likes","Medium reef assoc. fish (30 - 89 cm)","kingdom",0.549093183239525,"","","","Europe",TRUE
0,100,100,100,0,0,0,0,0,0,0,0,"Agonus cataphractus","Denmark","Not stated.","Fishbase","Perch-likes","Medium reef assoc. fish (30 - 89 cm)","kingdom",0.549093183239525,"Denmark","Denmark","Denmark","Europe",FALSE
100,100,100,100,100,100,100,100,100,100,100,100,"Albula vulpes","USA","Florida","Fishbase","Other fishes & inverts","Medium reef assoc. fish (30 - 89 cm)","scientific",1,"United States","United States","United States","North America",TRUE
100,100,100,100,100,100,0,0,0,0,100,100,"Albula vulpes","USA","South Florida (Feb 1989-Apr 1995)","Fishbase","Other fishes & inverts","Medium reef assoc. fish (30 - 89 cm)","scientific",1,"United States","United States","United States","North America",TRUE
100,0,0,0,0,0,0,0,0,0,100,100,"Albula vulpes","","West Indies","Fishbase","Other fishes & inverts","Medium reef assoc. fish (30 - 89 cm)","scientific",1,"","","",NA,TRUE
0,0,100,100,100,100,100,100,100,100,100,100,"Alepes mate","Hawaii","Kane'ohe Bay","Fishbase","Perch-likes","Medium reef assoc. fish (30 - 89 cm)","genus",1,"Hawaii","United States","United States","North America",TRUE
0,0,0,0,0,0,0,0,0,0,100,100,"Allocyttus niger","New Zealand","south Chatham Rise (Nov 1986)","Fishbase","Other fishes & inverts","Medium bathypelagics (30 - 89 cm)","scientific",1,"New Zealand","New Zealand","New Zealand","Oceania",TRUE
0,0,0,0,0,0,0,0,0,0,100,100,"Allocyttus niger","Australia","southern coasts and Tasmania","Fishbase","Other fishes & inverts","Medium bathypelagics (30 - 89 cm)","scientific",1,"Australia","Australia","Australia","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alopias pelagicus",NA,"not given","Fishbase","Sharks & rays","Large sharks (>=90 cm)","scientific",1,NA,NA,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alopias superciliosus",NA,"not given","Fishbase","Sharks & rays","Large sharks (>=90 cm)","scientific",1,NA,NA,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alopias superciliousus",NA,"not given","Fishbase","Sharks & rays","Large sharks (>=90 cm)","genus",1,NA,NA,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alopias vulpinus",NA,"Not given","Fishbase","Sharks & rays","Large sharks (>=90 cm)","scientific",1,NA,NA,NA,NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","India","-","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"India","India","India","Asia",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","Kiribati","Abaiang","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Kiribati","Kiribati","Kiribati","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","Kiribati","Abemama","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Kiribati","Kiribati","Kiribati","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","Kiribati","Butaritari","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Kiribati","Kiribati","Kiribati","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","Solomon Is.","Munda","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Solomon Islands","Solomon Islands","Solomon Islands","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","New Caledonia","not specified","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"New Caledonia","France","New Caledonia","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","Kiribati","Tarawa","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Kiribati","Kiribati","Kiribati","Oceania",TRUE
100,100,100,100,100,100,100,100,100,100,100,100,"Alosa alburnus","Kiribati","to be filled","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Kiribati","Kiribati","Kiribati","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","Solomon Is.","Tulagi","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Solomon Islands","Solomon Islands","Solomon Islands","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa alburnus","Solomon Is.","Vona vona","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Solomon Islands","Solomon Islands","Solomon Islands","Oceania",TRUE
100,100,100,100,100,100,100,100,0,0,100,100,"Alosa apicalis","Cuba","Cuba","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Cuba","Cuba","Cuba","North America",TRUE
0,0,0,0,100,100,0,0,0,0,0,0,"Alosa argyrochloris","Cambodia","Tonle Sap and Great Lake, 1995-1997","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Cambodia","Cambodia","Cambodia","Asia",FALSE
0,0,0,0,100,100,0,0,0,0,0,0,"Alosa caspia caspia","","Caspian Sea","Fishbase","Herring-likes","Small pelagics (<30 cm)","scientific",1,"","","",NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa caspia caspia","Russia","Northern Caspian Sea","Fishbase","Herring-likes","Small pelagics (<30 cm)","scientific",1,"Russia","Russian Federation","Russia","Europe",FALSE
0,0,100,100,100,0,0,0,0,0,0,0,"Alosa chrysochloris","USA","Mississippi","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa chrysochloris","USA","Ohio River","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",FALSE
0,0,0,100,0,0,0,0,0,0,0,0,"Alosa cyanonoton","USA","Chesapeake Bay","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",FALSE
0,0,0,100,100,100,100,100,100,0,0,0,"Alosa cyanonoton","USA","Connecticut","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",FALSE
0,0,0,100,100,100,0,0,0,0,0,0,"Alosa cyanonoton","USA","Delaware River","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",FALSE
0,0,0,100,100,0,0,0,0,0,0,0,"Alosa cyanonoton","USA","Potomac River","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa cyanonoton","Canada","St. John, Margaree, Gaspereau, and Tusket rivers (Nova Scotia and New Brunswick)","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Canada","Canada","Canada","North America",FALSE
0,0,0,0,100,100,0,0,0,0,0,0,"Alosa elongata","Russia","Sea of Japan","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Russia","Russian Federation","Russia","Europe",TRUE
0,0,0,0,100,100,0,0,0,0,0,0,"Alosa finta algeriensis","","Europe","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
0,0,0,0,100,0,0,0,0,0,0,0,"Alosa finta algeriensis","Tunisia","Lake Ichkeul","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Tunisia","Tunisia","Tunisia","Africa",FALSE
0,0,100,100,100,0,0,0,0,0,0,0,"Alosa finta algeriensis","Algeria","Mazafran River","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Algeria","Algeria","Algeria","Africa",FALSE
0,0,0,0,0,100,100,0,0,0,0,0,"Alosa killarnensis","Ireland","Lough Lane","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Ireland","Ireland","Ireland","Europe",FALSE
0,0,0,0,0,100,100,100,0,0,0,0,"Alosa lacustrus benacensis","Italy",NA,"Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Italy","Italy","Italy","Europe",FALSE
0,0,0,0,0,0,100,100,0,0,0,0,"Alosa macedonica","Greece","Lake Volvi","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Greece","Greece","Greece","Europe",FALSE
2,2,2,4,15,9,5,2,2,2,2,2,"Alosa macedonica","Greece","Lake Volvi (2001)","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Greece","Greece","Greece","Europe",FALSE
0,0,0,100,100,100,0,0,0,0,0,0,"Alosa maeotica maeotica","Romania","Lake Razelm","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Romania","Romania","Romania","Europe",FALSE
0,100,0,0,0,0,0,0,0,0,0,0,"Alosa malayana","India","Godavari estuary","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"India","India","India","Asia",FALSE
0,0,0,0,0,0,100,0,0,0,0,100,"Alosa musica","Australia","Albany, Western Australia","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Australia","Australia","Australia","Oceania",TRUE
0,0,100,100,100,0,0,0,0,0,0,0,"Alosa musica","Japan","central Honshu","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Japan","Japan","Japan","Asia",TRUE
100,100,100,0,0,0,0,0,100,100,100,100,"Alosa musica","Peru","Ilo, Callao, Chimbote, Paita","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Peru","Peru","Peru","South America",TRUE
0,0,100,100,100,100,100,100,100,0,0,0,"Alosa musica","Australia","northern New South Wales","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Australia","Australia","Australia","Oceania",TRUE
0,100,100,0,0,0,100,100,100,0,0,0,"Alosa musica","Chile","Off Chile","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Chile","Chile","Chile","South America",TRUE
100,100,100,100,100,100,0,0,0,0,0,0,"Alosa musica","USA","Point Conception to San Diego, California","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",TRUE
0,0,0,100,100,100,0,0,0,0,0,0,"Alosa musica","USA","San Pedro, California","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",TRUE
100,100,100,100,100,0,0,0,0,0,0,100,"Alosa musica","Australia","South Australia","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Australia","Australia","Australia","Oceania",TRUE
100,100,0,0,0,0,0,0,100,100,100,100,"Alosa musica","","southern Africa","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","","Africa",TRUE
100,100,100,100,100,0,0,0,0,0,0,100,"Alosa musica","Australia","southern New South Wales","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Australia","Australia","Australia","Oceania",TRUE
100,100,0,0,0,0,0,0,100,100,100,100,"Alosa musica","Australia","Victoria","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Australia","Australia","Australia","Oceania",TRUE
0,0,100,100,100,100,100,100,100,0,0,0,"Alosa musica","Australia","Western Australia (south coasts)","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Australia","Australia","Australia","Oceania",TRUE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa ohiensis","USA","Black Warrior R., Black Warrior R. Tuscaloosa Co","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United States","United States","United States","North America",FALSE
100,100,0,0,0,0,0,0,100,100,100,100,"Alosa pectinata","Brazil","Lagoa dos Patos","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Brazil","Brazil","Brazil","South America",TRUE
100,0,0,0,0,0,0,0,0,100,100,100,"Alosa pilchardus","Portugal","Aveiro","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Portugal","Portugal","Portugal","Europe",FALSE
0,0,0,0,0,100,100,100,0,0,0,0,"Alosa pilchardus","","Black Sea","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
0,0,100,100,0,0,0,0,0,0,0,0,"Alosa pilchardus","Spain","East Cantabrian area","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Spain","Spain","Spain","Europe",FALSE
0,0,0,100,0,0,0,0,0,0,0,0,"Alosa pilchardus","UK","English Channel","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United Kingdom","United Kingdom","United Kingdom","Europe",FALSE
0,0,100,100,0,0,0,0,0,0,0,0,"Alosa pilchardus","Spain","Galician coast","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Spain","Spain","Spain","Europe",FALSE
100,0,0,0,0,0,0,0,0,0,100,100,"Alosa pilchardus","Portugal","Lisboa","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Portugal","Portugal","Portugal","Europe",FALSE
100,100,100,100,0,0,0,0,0,100,100,100,"Alosa pilchardus","Portugal","Matosinhos","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Portugal","Portugal","Portugal","Europe",FALSE
0,0,0,0,0,100,100,100,0,0,0,0,"Alosa pilchardus","","North Sea","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","","Europe",FALSE
0,0,100,100,0,0,0,0,0,0,0,0,"Alosa pilchardus","Spain","North-Atlantic Spanish Coasts, 41°55 N - 1°58 W","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Spain","Spain","Spain","Europe",FALSE
100,100,100,100,100,100,0,0,0,100,100,100,"Alosa pilchardus","Morocco","Northwest Africa (27°-29° N), 1976-82","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Morocco","Morocco","Morocco","Africa",FALSE
100,100,100,100,100,100,0,0,0,0,100,100,"Alosa pilchardus","","Off African coasts of Mediterranean","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","","Africa",FALSE
100,100,100,100,100,0,0,0,100,100,100,100,"Alosa pilchardus","","Off European coasts of Mediterranean","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
0,0,0,0,0,0,0,0,0,100,100,100,"Alosa pilchardus","Portugal","Olhao","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Portugal","Portugal","Portugal","Europe",FALSE
100,100,100,100,0,0,0,0,100,100,100,100,"Alosa pilchardus","Portugal","Peniche & Olhao/Portimao","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Portugal","Portugal","Portugal","Europe",FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa pilchardus","","Spanish and Portueguese coast","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","","Europe",FALSE
100,100,100,100,100,100,100,100,100,0,0,0,"Alosa pilchardus","UK","SW England","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"United Kingdom","United Kingdom","United Kingdom","Europe",FALSE
0,0,100,100,0,0,0,0,0,0,0,0,"Alosa pilchardus","Spain","W Cantabrian area","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Spain","Spain","Spain","Europe",FALSE
0,0,0,0,100,100,100,100,0,0,0,0,"Alosa pontica kessleri","","Caspian Sea (Volga)","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","","Europe",FALSE
0,0,0,100,100,100,0,0,0,0,0,0,"Alosa pontica kessleri","Russia","Don River (1966-1971)","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Russia","Russian Federation","Russia","Europe",FALSE
0,0,0,0,100,100,100,100,0,0,0,0,"Alosa pontica kessleri","","Volga, Vyatka, Kama, Oka and Ural rivers and their tributaries","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
0,0,0,0,100,100,100,100,0,0,0,0,"Alosa pontica var. moriac","","Black Sea and Sea of Azov","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa pontica var. moriac","Romania","Danube Delta (1987)","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Romania","Romania","Romania","Europe",FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alosa pontica var. moriac","Romania","Danube Delta (1989)","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Romania","Romania","Romania","Europe",FALSE
0,0,0,100,100,100,100,100,0,0,0,0,"Alosa pontica var. moriac","","not specified","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
0,0,0,0,100,11,100,0,0,0,0,0,"Alosa reevesii","China","Yangtze River","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"China","China","China","Asia",FALSE
0,0,0,0,100,100,100,0,0,0,0,0,"Alosa rusa","France","Lower reaches of rivers","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"France","France","France","Europe",FALSE
0,0,0,0,100,0,0,0,0,0,0,0,"Alosa rusa","","Not specified","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
0,0,0,0,100,0,0,0,0,0,0,0,"Alosa rusa","","not specified","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
0,0,0,100,100,100,100,0,0,0,0,0,"Alosa rusa","","not specified","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"","","",NA,FALSE
0,0,0,0,100,0,0,0,0,0,0,0,"Alosa rusa","Portugal","Portugal","Fishbase","Herring-likes","Medium pelagics (30 - 89 cm)","genus",1,"Portugal","Portugal","Portugal","Europe",FALSE
