"commercial.group","functional.group","CONTINENT","species.spawning","spawnings.spawning","species.included","spawnings.included","species.sau","stocks.sau"
"Sharks & rays","Large sharks (>=90 cm)","Europe",4,4,1,1,62,1267
"Sharks & rays","Large sharks (>=90 cm)","North America",18,22,14,17,49,530
"Sharks & rays","Large sharks (>=90 cm)","Oceania",17,19,15,16,52,322
"Sharks & rays","Large sharks (>=90 cm)","Seven seas (open ocean)",1,1,1,1,29,69
"Sharks & rays","Large sharks (>=90 cm)","South America",3,6,2,3,48,282
"Sharks & rays","Large sharks (>=90 cm)",NA,84,112,21,23,NA,NA
"Sharks & rays","Small to medium rays (<90 cm)","Africa",6,6,0,0,11,50
"Sharks & rays","Small to medium rays (<90 cm)","Asia",1,1,0,0,2,3
"Sharks & rays","Small to medium rays (<90 cm)","Europe",6,6,3,3,14,95
"Sharks & rays","Small to medium rays (<90 cm)","North America",3,5,0,0,6,10
"Sharks & rays","Small to medium rays (<90 cm)","Oceania",3,3,3,3,5,8
"Sharks & rays","Small to medium rays (<90 cm)","South America",9,11,1,1,9,13
"Sharks & rays","Small to medium rays (<90 cm)",NA,23,24,2,2,NA,NA
"Sharks & rays","Small to medium sharks (<90 cm)","Asia",4,4,2,2,2,3
"Sharks & rays","Small to medium sharks (<90 cm)","North America",2,2,2,2,2,5
