ID,region,count,species,new FAO region,EEZ,Freshwater spawning or seas not in FAO region,TO DO,
1,Mediterranean,81,Acanthocybium-solandri Atherina-boyeri Brama-brama Capros-aper Centropomus-mullus Centropomus-rubens Cepola-macrophthalma Chimaera-monstrosa Coryphaena-psittacus Cypselurus-polyethmus Dentex-dentex Dentex-gibbosus Dentex-maroccanus Dentex-parvulus Dentex-vulgaris Dicentrarchus-labrax Dicentrarchus-lupus Dicentrarchus-punctatus Epigonus-denticulatus Euthynnus-alletteratus Gaidropsarus-megalokynodon Gaidropsarus-vulgaris Helicolenus-dactylopterus Leiognathus-mediterraneus Lutjanus-roissali Merlangius-merlangus Merluccius-merluccius Merluccius-merluccius Merluccius-uraleptus Merluccius-vulgaris Merluccius-vulgaris Molva-byrkelange Molva-byrkelange Molva-dypterygia-dypterygia Molva-dypterygia Molva-molva Molva-vulgaris Mora-moro Morone-labrax Morone-punctatus Mullus-imberbis Oblada-melanura Orcynopsis-unicolor Pagrus-pagrus Pagrus-vulgaris Phycis-blennoides Phycis-phycis Phycis-tinca Polyprion-americanus Pomadasys-stridens Pomatomus-saltatrix Sardinella-aurita Sardinella-pinnula Sciaena-umbra Scomber-amarui Scomber-germon Scomber-quadripunctatus Scomber-sypterus Scomber-unicolor Scophthalmus-rhombus Scorpaena-dactyloptera Sebastes-maculatus Serranus-cabrilla Serranus-cabrilla Serranus-hepatus Serranus-knysnaensis Serranus-knysnaensis Serranus-scriba Solea-lutea Solea-solea Solea-vulgaris-vulgaris Thunnus-alalunga Thunnus-pacificus Trichiurus-lepturus Trichiurus-nitens Trisopterus-luscus Trisopterus-minutus Uranoscopus-micropterygius Uranoscopus-scaber Xiphias-gladius Xyrichtys-novacula,"37: 1, 2, 3",,,,
2,California Current Region,68,Anchoviella-compressa Argentina-pretiosa Argentina-sialis Bathylagus-microcephalus Bathylagus-ochotensis Bathylagus-pacificus Bathylagus-stilbius-stilbius Bathylagus-wesethy Coryphaenoides-pectoralis Coryphaenoides-simulus Cypselurus-hubbsi Fistularia-commersonii Fistularia-corneta Girella-nigricans Hemiramphus-cuspidatus Hexagrammos-decagrammus Hydrolagus-colliei Hydrolagus-media Hypomesus-pretiosus Lepidion-verecundum Myripristis-leiognathus Notolepis-rissoi-rissoi Notoscopelus-resplendens Opisthonema-libertate Paralabrax-maculatofasciatus Paralabrax-nebulifer Pontinus-sierra Porichthys-notatus Sargocentron-suborbitalis Scorpaena-sierra Sebastes-atrovirens Sebastes-auriculatus Sebastes-aurora Sebastes-carnatus Sebastes-caurinus Sebastes-chlorostictus Sebastes-chrysomelas Sebastes-constellatus Sebastes-dallii Sebastes-diploproa Sebastes-elongatus Sebastes-entomelas Sebastes-goodei Sebastes-goodei Sebastes-hopkinsi Sebastes-jordani Sebastes-jordani Sebastes-levis Sebastes-macdonaldi Sebastes-melanops Sebastes-melanostomus Sebastes-miniatus Sebastes-nebulosus Sebastes-ovalis Sebastes-paucispinis Sebastes-paucispinus Sebastes-pinniger Sebastes-rastrelliger Sebastes-rosaceus Sebastes-rosenblatti Sebastes-ruberrimus Sebastes-rufus Sebastes-saxicola Sebastes-semicinctus Sebastes-serranoides Semicossyphus-pulcher Serranus-maculatofasciatus Stolephorus-compressus,77,"United States, Mexico",,,
3,North Sea,25,Alosa-pilchardus Ammodytes-lanceolatus Ammodytes-marinus Anarhichas-minor Anarhichas-steenstrupii Aphia-minuta Dipturus-batis Eutrigla-gurnardus Gobius-niger Lutjanus-norwegicus Melanogrammus-aeglefinus Merluccius-merluccius Merluccius-vulgaris Molva-byrkelange Myxine-glutinosa Pollachius-virens Raja-batis Sardina-pilchardus Solea-lutea Sprattus-sprattus-balticus Sprattus-sprattus Symphodus-melops Trigla-milvus Trisopterus-esmarkii Uranoscopus-micropterygius,27: IV,,,,
4,Europe,1,Pleuronectes-platessa,"27; 37: 1, 2, 3.1, 4",,,,
5,Europe,11,Hippocampus-vulgaris Liza-aurata Liza-auratus Liza-ramada Liza-ramado Liza-ramado Mugil-octoradiatus Mugil-ramado Scomber-germon Thunnus-alalunga Thunnus-pacificus,"27; 37: 1, 2, 3.1, 4",,,,
6,Europe,6,Alosa-fallax Alosa-finta-algeriensis Centropomus-mullus Dicentrarchus-labrax Dicentrarchus-lupus Morone-labrax ,"27; 37: 1, 2, 3.1, 4",,,,
7,Northeastern Atlantic,3,Ammodytes-tobiunus Gaidropsarus mediterraneus Gaidropsarus-mustellaris,27,,,,
8,Northeastern Atlantic,8,Anarhichas-lupus Anarhichas-vomerinus Anarhichas-vomerinus Ciliata-mustela Gaidropsarus-mustela Melanogrammus-aeglefinus Phycis-ranina Trisopterus-esmarkii,27,,,,
9,Northeastern Atlantic,5,Coryphaena-rupestris Coryphaenoides-rupestris Macrourus-stroemii Phycis-blennoides Phycis-tinca ,27,,,,
10,Northeastern Atlantic,3,Epigonus-telescopus Eutrigla-gurnardus Trigla-milvus,27,,,,
11,Northeastern Atlantic,1,Trachyrincus-scabrus,27,,,,
12,Northeastern Atlantic,1,Gaidropsarus-guttatus ,27,,,,
13,Northeastern Atlantic,1, Merlangius-merlangus,27,,,,
14,Eastern North Pacific,11,Sebastes-chlorostictus Sebastes-elongatus Sebastes-entomelas Sebastes-flavidus Sebastes-goodei Sebastes-miniatus Sebastes-paucispinis Sebastes-paucispinus Sebastes-pinniger Sebastes-rosaceus Sebastes-saxicola,67; 77,,,,
15,Eastern North Pacific,8,Sebastes-constellatus Sebastes-dallii Sebastes-hopkinsi Sebastes-levis Sebastes-rosenblatti Sebastes-rufus Sebastes-semicinctus Sebastes-serranoides,77,,,,
16,Mediterranean Sea,19,Ammodytes-terebrans Argentina-pennanti Boops-boops Carcharhinus-radamae Coris-julis Ctenolabrus-rupestris Hippocampus-vulgaris Maurolicus-muelleri Pagellus-bogaraveo Pagellus-centrodontus Pagellus-erythrinus Pagrus-pagrus Pagrus-vulgaris Salmo-muelleri Sarpa-salpa Scomber-scombrus Scomber-vulgaris Spicara-maena-maena Spicara-maena,"37: 1, 2, 3",,Salmo-muelleri,,
17,Eastern Atlantic,1,Ammodytes-immaculatus ,27; 34; 37,,,,
18,Eastern Atlantic,1,Dentex-canariensis,27; 34; 37,,,,
19,Eastern Atlantic,12,Coryphaena-perciformis Dentex-macrophthalmus Liza-saliens-furcata Liza-saliens Mugil-saliens Pagellus-acarne Pagellus-acerna Pagrus-acarne Raja-brachyura Scomber-sloanei Thunnus-albacares Thunnus-zacalles,27; 34; 37,,,,
20,Eastern Atlantic,1,Sardinella-maderensis,27; 34; 37,,,,
21,Eastern Atlantic,2,Glyptocephalus-cynoglossus Hyperoglyphe-perciformis,27; 34; 37,,,,
22,Switzerland,16,Coregonus-exigmas-albellus Coregonus-fatioi Coregonus-heglingus Coregonus-nobilis Coregonus-palaea Coregonus-restrictus-feritus Coregonus-schinzii-duplex Coregonus-schinzii-helveticus Coregonus-suidteri Coregonus-wartmanni-coeruleus Coregonus-zuerichensis Coregonus-zugensis Salmo-rhodanensis Salmo-wartmanni Salvelinus-neocomensis,0,,Coregonus-exigmas-albellus Coregonus-fatioi Coregonus-heglingus Coregonus-nobilis Coregonus-palaea Coregonus-restrictus-feritus Coregonus-schinzii-duplex Coregonus-schinzii-helveticus Coregonus-suidteri Coregonus-wartmanni-coeruleus Coregonus-zuerichensis Coregonus-zugensis Salmo-rhodanensis Salmo-wartmanni Salvelinus-neocomensis,,
23,Eastern Mediterranean,14,Boops-boops Dentex-macrophthalmus Diplodus-annularis Diplodus-sargus-sargus Diplodus-vulgaris Istiophorus-albicans Istiophorus-wrighti Makaira-velifera Pagellus-acarne Pagellus-acerna Pagrus-acarne Scarus-siganus Siganus-rivulatus Siganus-siganus,"37: 3.1, 3.2",,,,
24,Black Sea,11,Alosa-pilchardus Aphia-minuta Belone-belone Belone-vulgaris Boops-boops Boops-boops Diplodus-annularis Hemiramphus-obtusus Merlangius-merlangus Platichthys-flesus Sardina-pilchardus,"37: 4.1, 4.2, 4.3",,,,
25,North Atlantic,11,Carcharhinus-limbatus Carcharhinus-natator Coryphaenoides-berglax Cyclopterus-lumpus Lophius-piscatorius Macrourus-berglax Macrourus-fabricii Melanogrammus-aeglefinus Molva-molva Molva-vulgaris Sebastes-norvegicus,21; 27,,,,
26,Western Atlantic,11,Carcharhinus-leucas Carcharhinus-plumbeus Carcharhinus-signatus Carcharhinus-zambezensis Epinephelus-guttatus Lutjanus-purpureus Scomber-regalis Scomberomorus-regalis Serranus-stathouderi Squalus-platyodon Squalus-plumbeus,21; 31; 41,,,,
27,Western North Pacific,10,Istiophorus-audax Kajikia-audax Makaira-zelandica Mustelus-monazo Sebastes-inermis Sebastes-pachycephalus-pachycephalus Sebastes-schlegelii Sebastes-steindachneri Sebastes-taczanowskii Sebastes-vulpes,61,,,,
28,Bay of Biscay,9,Anchoviella-guineensis Engraulis-encrasicolus Merluccius-merluccius Merluccius-vulgaris Molva-byrkelange Pagellus-bogaraveo Pagellus-centrodontus Pollachius-pollachius Solea-lutea,27: VIII,,,,
29,East China Sea,9,Caranx-trachurus-japonicus Galeus-japanicus Harengula-nymphaea Pampus-echinogaster Sardinella-lemuru Sardinella-samarensis Trachurus-japonicus Trichiurus-lepturus Trichiurus-nitens,61,China,,,
30,Adriatic Sea,8,Aphia-minuta Boops-boops Lepidopus-caudatus Merluccius-merluccius Merluccius-vulgaris Molva-byrkelange Mullus-surmuletus Trichiurus-gladius,37: 2.1,,,,
31,Baltic Sea,8,Cyclopterus-lumpus Gobius-niger Limanda-limanda Myoxocephalus-quadricornis-relicta Myoxocephalus-quadricornis Pleuronectes-platessa Sprattus-sprattus-balticus Sprattus-sprattus,27: III,,,,
32,eastern Atlantic,1,Diplodus-senegalensis ,27; 34; 37,,,,
33,eastern Atlantic,2,Scorpaena-elongata  Pomadasys-incisus,27; 34; 37,,,,
34,eastern Atlantic,5,Makaira-nigricans Makaira-perezi Pagrus-pagrus Pagrus-vulgaris Umbrina-canariensis,27; 34; 37,,,,
35,Gulf of Mexico,8,Brevoortia-patronus Mustelus-norrisi Sardinella-aurita Sardinella-pinnula Scomber-thynnus Thunnus-thynnus Thunnus-vulgaris Xiphias-gladius,31,"United States, Mexico, Cuba",,,
36,Lake Constance,8,Coregonus-arenicolus Coregonus-gutturosus Coregonus-restrictus-nusslinii Coregonus-wartmanni-coeruleus Salmo-muraena-gutturosa Salmo-salvelinus-profundus Salmo-wartmanni Salvelinus-profundus,0,,Coregonus-arenicolus Coregonus-gutturosus Coregonus-restrictus-nusslinii Coregonus-wartmanni-coeruleus Salmo-muraena-gutturosa Salmo-salvelinus-profundus Salmo-wartmanni Salvelinus-profundus,,
37,Eastern Indian Ocean,7,Carcharhinus-amblyrhynchos Carcharhinus-amboinensis Carcharhinus-dussumieri Carcharhinus-maculipinnis Carcharhinus-pleurotaenia Carcharhinus-wheeleri Squalus-brevipinna,57,,,,
38,Eastern Pacific,7,Auxis-thazard Auxis-thazzard Istiophorus-audax Kajikia-audax Makaira-zelandica Scomber-thazard Sebastes-emphaeus,67; 77; 87,,,,
39,Elephant I.,7,Chaenocephalus-aceratus Champsocephalus-gunnari Gobionotothen-gibberifrons Lepidonotothen-nudifrons Notothenia-neglecta Notothenia-rossii Nototheniops-larseni,48.1,,,,
40,Indo-West Pacific,7,Carcharhinus-amblyrhynchos Carcharhinus-hemiodon Carcharhinus-sorrah Carcharhinus-spallanzani Carcharhinus-wheeleri Squalus-spallanzani Squalus-tygrinus,51; 57; 71,,,,
41,Northwestern Atlantic,1,Melanogrammus-aeglefinus ,21,,,,
42,Northwestern Atlantic,6,Carcharhinus-falciformis Carcharhinus-menissorrah Phycis-tenuis Sarda-sarda Scomber-sarda Urophycis-tenuis,21,,,,
43,Off East Africa,7,Aprion-virescens Euthynnus-affinis Lutjanus-lutjanus Lutjanus-monostigma Lutjanus-monostigmus Lutjanus-sanguineus Serranus-nouleny,51,,,,
44,East Africa,6,Centropomus-hober Lutjanus-fulviflamma Lutjanus-unimaculatus Scomber-maculosus Scomberomorus-commerson Scomberomorus-commersonii,51,,,,
45,eastern Atlantic and Mediterranean seas,6,Pagellus-erythrinus Pagrus-auriga Pagrus-caeruleostictus Pagrus-coerulostrictus Sarpa-salpa Sparus-aurata,27; 37; 34; 47,,,,
46,North West African coast,6,Boops-boops Pagellus-acarne Pagellus-acerna Pagrus-acarne Pagrus-caeruleostictus Pagrus-coerulostrictus,34,,,,
47,Sargasso Sea,6,Anguilla-rostrata Anguilla-vulgaris Anguilla-xanthomelas Diodon-nummularis Mola-mola Mola-rotunda,31,,,,
48,Atlantic,2,Boops-boops  Xiphias-gladius,21; 31; 41; 27; 34; 47,,,,
49,Atlantic,1,Trisopterus-luscus ,21; 31; 41; 27; 34; 47,,,,
50,Atlantic,2,Dentex-maroccanus Dentex-parvulus Xiphias-gladius,21; 31; 41; 27; 34; 47,,,,
51,British Isles,5,Lepidorhombus-whiffiagonis Micromesistius-poutassou Pagellus-bogaraveo Pagellus-centrodontus Spondyliosoma-cantharus,"27: IV, V, VI, VII",,,,
52,Caribbean Sea,5,Carcharhinus-springeri Merluccius-albidus Merluccius-magnoculus Tetrapturus-pfluegeri Xiphias-gladius,31,,,,
53,Eastern North Atlantic,5,Ammodytes-marinus Ammodytes-tobiunus Scyliorhinus-canicula Scyliorhinus-cannicula Squalus-elegans,27,,,,
54,North West African coast.,5,Pagellus-acarne Pagellus-acerna Pagrus-acarne Pagrus-caeruleostictus Pagrus-coerulostrictus,34,,,,
55,Northeast Atlantic,5,Gaidropsarus-macrophthalmus Glyptocephalus-cynoglossus Hippoglossoides-platessoides Microstomus-kitt Pollachius-pollachius,27,,,,
56,Northern hemisphere,5,Galeocerdo-cuvier Galeus-maculatus Squalus-cuvier Thunnus-obesus Thunnus-sibi,"21; 27; 31; 34; 37; 61; 67; 77; 87: 1.11, 1.12, 1.21, 1.22, 1.3; 41: 1.1",,,,
57,Red Sea,5,Lethrinus-lentjan Lethrinus-virescens Pseudobalistes-fuscus Serranus-squamipinnis Siganus-luridus,51.1,,,,
58,South Orkney Is.,5,Gobionotothen-gibberifrons Lepidonotothen-squamifrons Notothenia-neglecta Nototheniops-larseni Trisopterus-esmarkii,27: IV.a,,,,
59,southern Africa,5,Alosa-musica Merluccius-capensis Merluccius-merluccius-capensis Sardinops-caeruleus Sardinops-sagax,47; 51: 8,,,,
60,Southern hemisphere,5,Galeocerdo-cuvier Galeus-maculatus Squalus-cuvier Thunnus-obesus Thunnus-sibi,"71; 81; 87; 41; 47; 51; 57; 58; 48; 88; 87: 1.4, 1.13, 1.23, 1.14, 1.24, 1.15, 1.25, 2, 3; 41: 1.2, 1.4, 1.3, 2, 3",,,,
61,Western Indian Ocean,5,Carcharhinus-falciformis Carcharhinus-menissorrah Istiophorus-audax Kajikia-audax Makaira-zelandica,51,,,,
62,Western Mediterranean,5,Boops-boops Diplodus-vulgaris Pagellus-acarne Pagellus-acerna Pagrus-acarne,37: 1,,,,
63,Atlantic and Indian Oceans seamounts off southern part of Africa,2,Schedophilus-ovalis Seriolella-amplus,"47: B, C, D, 1.4, 1.5, 1.6, 2.1, 2.2; 51: 6, 7, 8",,,,
64,Atlantic and Indian Oceans seamounts off southern part of Africa,2,Hyperoglyphe-antarctica Hyperoglyphe-porosa Schedophilus-ovalis Seriolella-amplus,"47: B, C, D, 1.4, 1.5, 1.6, 2.1, 2.2; 51: 6, 7, 8",,,,
65,Austria,4,Coregonus-atterensis Coregonus-exiguus-danneri Coregonus-steindachneri Salmo-renke,0,,Coregonus-atterensis Coregonus-exiguus-danneri Coregonus-steindachneri Salmo-renke,,
66,"Bay of Biscay (Golfe de Gascogne, 1985-1990)",4,Caranx-trachurus Scomber-trachurus Trachurus-trachurus Trachurus-vulgaris,27: VIII,,,,
67,Cape Blanc,4,Dentex-macrophthalmus Pagellus-acarne Pagellus-acerna Pagrus-acarne,34: 1.32,Mauritania,,,
68,Curacao,4,Cephalopholis-cruentata Cephalopholis-cruentatus Epinephelus-cruentatus Serranus-nigriculus,31,"Curacao, Netherlands",,,
69,English Channel,4,Clupea-harengus-membras Clupea-harengus Serranus-cabrilla Serranus-knysnaensis,"27: VII.d, VII.e",,,,
70,"English Channel & North Sea, 1974",4,Caranx-trachurus Scomber-trachurus Trachurus-trachurus Trachurus-vulgaris,"27: IV, VII.d, VII.e",,,,
71,Galapagos Is.,4,Mycteroperca-olfax-ruberrima Serranus-olfax Sphyrna-zygaena Squalus-zygaena,87: 1.3,,,,
72,Gulf of Aden,4,Lethrinus-nebulosus Lethrinus-scoparius Lutjanus-lutjanus Serranus-nouleny,51: 3,"Yemen, Djibouti, Somalia",,,
73,"Indian Ocean, North Atlantic",4,Carcharhinus-macki Isurus-glaucus Prionace-glauca Squalus-glaucus,51; 57; 27; 21,,,,
74,Lower latitudes,4,Lutjanus-fulvus Lutjanus-kasmira Lutjanus-vaigiensis Serranus-limbatus,"31; 34; 37; 41: 1, 2; 51: 1, 2, 3, 4, 5, 6; 61; 71; 77; 81; 51; 57: 1, 2, 3, 5; 71; 77; 87: 1, 2",,,,
75,northeastern Atlantic and Mediterranean,4,Auxis-rochei Auxis-vulgaris Scomber-rochei Thunnus-rocheanus,"27; 37: 1, 2, 3",,,,
76,"Northeastern Atlantic, Mediterranean and Black Sea",4,Dasyatis-pastinaca Dasyatis-ujo Lophius-piscatorius Raja-pastinaca,27; 37,,,,
77,"Off West Africa, Laysan Island, off East Africa, European waters, eastern North Pacific, southern Australia, Californian waters.",4,Carcharhinus-cyrano Galeorhinus-galeus Galeus-zyopterus Squalus-rhinophanes,"27; 37; 34; 47; 77: United States, Mexico; 67; 57: 5.2, 6; 81: Australia",,,,
78,Off west coast of Africa,4,Caranx-trachurus Scomber-trachurus Trachurus-trachurus Trachurus-vulgaris,34; 47,,,,
