"scientific","alphaid","kingdom","phylum","class","order","family","genus"
"Gymnoscopelus nicholsi",234821,"Animalia","Chordata","Actinopterygii","Myctophiformes","Myctophidae","Gymnoscopelus"
"Parachaenichthys georgianus",234722,"Animalia","Chordata","Actinopterygii","Perciformes","Bathydraconidae","Parachaenichthys"
"Chionodraco hamatus",234795,"Animalia","Chordata","Actinopterygii","Perciformes","Channichthyidae","Chionodraco"
"Sturgeons and paddlefishes",NA,"Animalia","Chordata","Actinopterygii","Acipenseriformes",NA,NA
"Belonidae spp.",125451,"Animalia","Chordata","Actinopterygii","Beloniformes","Belonidae",""
"Trachichthyidae spp.",125459,"Animalia","Chordata","Actinopterygii","Beryciformes","Trachichthyidae",""
"Berycidae spp.",125456,"Animalia","Chordata","Actinopterygii","Beryciformes","Berycidae",""
"Scorpaenidae spp.",125595,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae",""
"Triglidae spp.",125598,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae",""
"Gerreidae spp.",151456,"Animalia","Chordata","Actinopterygii","Perciformes","Gerreidae",""
"Haemulidae spp.",125538,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae",""
"Lethrinidae spp.",151458,"Animalia","Chordata","Actinopterygii","Perciformes","Lethrinidae",""
"Lampris immaculatus",234664,"Animalia","Chordata","Actinopterygii","Lampriformes","Lampridae","Lampris"
"Apogonidae spp.",125518,"Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae",""
"Istigobius decoratus",219504,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Istigobius"
"Sphaeramia orbicularis",209408,"Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Sphaeramia"
"Scarus rivulatus",276059,"Animalia","Chordata","Actinopterygii","Perciformes","Scaridae","Scarus"
"Chlorurus bowersi",277505,"Animalia","Chordata","Actinopterygii","Perciformes","Scaridae","Chlorurus"
"Stethojulis strigiventer",219061,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Stethojulis"
"Canthigaster bennetti",219938,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","Canthigaster"
"Diodon liturosus",219970,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Diodontidae","Diodon"
"Amblygobius phalaena",278655,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Amblygobius"
"Hyporhamphus acutus acutus",293613,"Animalia","Chordata","Actinopterygii","Beloniformes","Hemiramphidae","Hyporhamphus"
"Dactyloptena peterseni",218160,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Dactylopteridae","Dactyloptena"
"Asterozoa spp.",148743,"Animalia","Echinodermata","","","",""
"Mugilidae spp.",125546,"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae",""
"Sphyraenidae spp.",125565,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae",""
"Scaridae spp.",398089,"Animalia","Chordata","Actinopterygii","Perciformes","Scaridae","Scaridae"
"Scolecenchelys australis",282707,"Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae","Scolecenchelys"
"Bellator militaris",159568,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Bellator"
"Porichthys porosissimus",275662,"Animalia","Chordata","Actinopterygii","Batrachoidiformes","Batrachoididae","Porichthys"
