"region","specie","eez","major"
"Western Central Atlantic","Scyliorhinus hesperius",91,"31"
"Western Central Atlantic","Scyliorhinus hesperius",92,"31"
"Western Central Atlantic","Scyliorhinus hesperius",93,"31"
"Western Central Atlantic","Scyliorhinus hesperius",94,"31"
"Western Central Atlantic","Scyliorhinus hesperius",95,"31"
"Western Central Atlantic","Scyliorhinus hesperius",96,"31"
"Western Central Atlantic","Scyliorhinus hesperius",97,"31"
"Western Central Atlantic","Scyliorhinus hesperius",98,"31"
"Western Central Atlantic","Scyliorhinus hesperius",100,"31"
"Western Central Atlantic","Scyliorhinus hesperius",101,"31"
"Western Central Atlantic","Scyliorhinus hesperius",105,"31"
"Western Central Atlantic","Scyliorhinus hesperius",110,"31"
"Western Central Atlantic","Scyliorhinus hesperius",111,"31"
"Western Central Atlantic","Scyliorhinus hesperius",129,"31"
"Western Central Atlantic","Scyliorhinus hesperius",130,"31"
"Western Central Atlantic","Scyliorhinus hesperius",158,"31"
"Western Central Atlantic","Scyliorhinus hesperius",159,"31"
"Western Central Atlantic","Scyliorhinus hesperius",199,"31"
"Western Central Atlantic","Scyliorhinus hesperius",217,"31"
"Western Central Atlantic","Scyliorhinus hesperius",218,"31"
"Western Central Atlantic","Scyliorhinus hesperius",234,"31"
"Western Central Atlantic","Scyliorhinus hesperius",237,"31"
"Western Central Atlantic","Scyliorhinus hesperius",238,"31"
"Western Central Atlantic","Scyliorhinus hesperius",241,"31"
"Western Central Atlantic","Scyliorhinus hesperius",246,"31"
"Western Central Atlantic","Scyliorhinus hesperius",247,"31"
"Western Central Atlantic","Scyliorhinus hesperius",106,"31"
"Western Central Atlantic","Scyliorhinus hesperius",224,"31"
"Western Central Atlantic","Scyliorhinus hesperius",243,"31"
"Western Central Atlantic","Scyliorhinus hesperius",244,"31"
"Western Central Atlantic","Scyliorhinus hesperius",235,"31"
"Western Central Atlantic","Scyliorhinus hesperius",99,"31"
"Western Central Atlantic","Scyliorhinus hesperius",102,"31"
"Western Central Atlantic","Scyliorhinus hesperius",104,"31"
"Western Central Atlantic","Scyliorhinus hesperius",103,"31"
"Western Central Atlantic","Scyliorhinus hesperius",131,"31"
"Western Central Atlantic","Scyliorhinus hesperius",132,"31"
"Western Central Atlantic","Scyliorhinus hesperius",133,"31"
"Western Central Atlantic","Scyliorhinus hesperius",134,"31"
"Western Central Atlantic","Scyliorhinus hesperius",249,"31"
"Western Central Atlantic","Scyliorhinus hesperius",214,"31"
"Western Central Atlantic","Scyliorhinus hesperius",216,"31"
"boreal North Atlantic","Centroscyllium fabricii",188,"21"
"boreal North Atlantic","Centroscyllium fabricii",157,"21"
"boreal North Atlantic","Centroscyllium fabricii",185,"21"
"boreal North Atlantic","Centroscyllium fabricii",112,"27"
"boreal North Atlantic","Centroscyllium fabricii",163,"27"
"boreal North Atlantic","Centroscyllium fabricii",182,"27"
"boreal North Atlantic","Centroscyllium fabricii",162,"27"
"boreal North Atlantic","Centroscyllium fabricii",136,"27"
"boreal North Atlantic","Centroscyllium fabricii",202,"27"
"boreal North Atlantic","Centroscyllium fabricii",226,"27"
"boreal North Atlantic","Centroscyllium fabricii",227,"27"
"boreal North Atlantic","Centroscyllium fabricii",52,"27"
"boreal North Atlantic","Centroscyllium fabricii",141,"27"
"boreal North Atlantic","Centroscyllium fabricii",207,"27"
"boreal North Atlantic","Centroscyllium fabricii",53,"27"
"boreal North Atlantic","Centroscyllium fabricii",135,"27"
"boreal North Atlantic","Centroscyllium fabricii",242,"27"
"boreal North Atlantic","Centroscyllium fabricii",113,"27"
"boreal North Atlantic","Centroscyllium fabricii",184,"27"
"Central and South American continentals shelves","Mustelus dorsalis",86,"77"
"Central and South American continentals shelves","Mustelus dorsalis",106,"77"
"Central and South American continentals shelves","Mustelus dorsalis",107,"77"
"Central and South American continentals shelves","Mustelus dorsalis",114,"77"
"Central and South American continentals shelves","Mustelus dorsalis",115,"77"
"Central and South American continentals shelves","Mustelus dorsalis",116,"77"
"Central and South American continentals shelves","Mustelus dorsalis",117,"77"
"Central and South American continentals shelves","Mustelus dorsalis",118,"77"
"Central and South American continentals shelves","Mustelus dorsalis",119,"77"
"Central and South American continentals shelves","Mustelus dorsalis",120,"77"
"Central and South American continentals shelves","Mustelus dorsalis",121,"77"
"Central and South American continentals shelves","Mustelus dorsalis",122,"77"
"Central and South American continentals shelves","Mustelus dorsalis",123,"77"
"Central and South American continentals shelves","Mustelus dorsalis",124,"77"
"Central and South American continentals shelves","Mustelus dorsalis",125,"77"
"Central and South American continentals shelves","Mustelus dorsalis",126,"77"
"Central and South American continentals shelves","Mustelus dorsalis",127,"77"
"Central and South American continentals shelves","Mustelus dorsalis",128,"77"
"Central and South American continentals shelves","Mustelus dorsalis",185,"77"
"Central and South American continentals shelves","Mustelus dorsalis",210,"77"
"Central and South American continentals shelves","Mustelus dorsalis",214,"77"
"Central and South American continentals shelves","Mustelus dorsalis",215,"77"
"Central and South American continentals shelves","Mustelus dorsalis",217,"77"
"Central and South American continentals shelves","Mustelus dorsalis",218,"77"
"Central and South American continentals shelves","Mustelus dorsalis",224,"77"
"Central and South American continentals shelves","Mustelus dorsalis",108,"87"
"Central and South American continentals shelves","Mustelus dorsalis",199,"87"
"Central and South American continentals shelves","Mustelus dorsalis",88,"87"
"Central and South American continentals shelves","Mustelus dorsalis",109,"87"
"Central East Atlantic","Spondyliosoma cantharus",40,"34"
"Central East Atlantic","Spondyliosoma cantharus",41,"34"
"Central East Atlantic","Spondyliosoma cantharus",42,"34"
"Central East Atlantic","Spondyliosoma cantharus",43,"34"
"Central East Atlantic","Spondyliosoma cantharus",47,"34"
"Central East Atlantic","Spondyliosoma cantharus",245,"34"
"Central East Atlantic","Spondyliosoma cantharus",175,"34"
"Central East Atlantic","Spondyliosoma cantharus",225,"34"
"Central East Atlantic","Spondyliosoma cantharus",230,"34"
"Central East Atlantic","Spondyliosoma cantharus",48,"34"
"Central East Atlantic","Spondyliosoma cantharus",134,"34"
"Central East Atlantic","Spondyliosoma cantharus",49,"34"
"Central East Atlantic","Spondyliosoma cantharus",239,"34"
"Central East Atlantic","Spondyliosoma cantharus",143,"34"
"Central East Atlantic","Spondyliosoma cantharus",76,"34"
"Central East Atlantic","Spondyliosoma cantharus",144,"34"
"Central East Atlantic","Spondyliosoma cantharus",77,"34"
"Central East Atlantic","Spondyliosoma cantharus",78,"34"
"Central East Atlantic","Spondyliosoma cantharus",79,"34"
"Central East Atlantic","Spondyliosoma cantharus",85,"34"
"Central East Atlantic","Spondyliosoma cantharus",145,"34"
"Central East Atlantic","Spondyliosoma cantharus",146,"34"
"Central East Atlantic","Spondyliosoma cantharus",231,"34"
"Central East Atlantic","Spondyliosoma cantharus",83,"34"
"Central East Atlantic","Spondyliosoma cantharus",147,"34"
"Central East Atlantic","Spondyliosoma cantharus",148,"34"
"Central East Atlantic","Spondyliosoma cantharus",151,"34"
"Central East Atlantic","Spondyliosoma cantharus",65,"34"
"Central East Atlantic","Spondyliosoma cantharus",80,"34"
"Central East Atlantic","Spondyliosoma cantharus",149,"34"
"Central East Atlantic","Spondyliosoma cantharus",150,"34"
"Gulf of Sakhalin","Eleginus gracilis",207,"61"
"south of Start Point and south of Portland Bill","Pleuronectes platessa",182,"27"
"Tartar Strait","Eleginus gracilis",207,"61"
"Celtic Sea","Melanogrammus aeglefinus",170,"27"
"Celtic Sea","Melanogrammus aeglefinus",182,"27"
"Celtic Sea","Melanogrammus aeglefinus",219,"27"
"Mediterranean","Acanthocybium solandri",138,"37"
"Mediterranean","Acanthocybium solandri",219,"37"
"Mediterranean","Acanthocybium solandri",225,"37"
"Mediterranean","Acanthocybium solandri",229,"37"
"Mediterranean","Acanthocybium solandri",46,"37"
"Mediterranean","Acanthocybium solandri",64,"37"
"Mediterranean","Acanthocybium solandri",45,"37"
"Mediterranean","Acanthocybium solandri",230,"37"
"Mediterranean","Atherina boyeri",138,"37"
"Mediterranean","Atherina boyeri",219,"37"
"Mediterranean","Atherina boyeri",225,"37"
"Mediterranean","Atherina boyeri",229,"37"
"Mediterranean","Atherina boyeri",46,"37"
"Mediterranean","Atherina boyeri",64,"37"
"Mediterranean","Atherina boyeri",45,"37"
"Mediterranean","Atherina boyeri",230,"37"
"Mediterranean","Brama brama",138,"37"
"Mediterranean","Brama brama",219,"37"
"Mediterranean","Brama brama",225,"37"
"Mediterranean","Brama brama",229,"37"
"Mediterranean","Brama brama",46,"37"
"Mediterranean","Brama brama",64,"37"
"Mediterranean","Brama brama",45,"37"
"Mediterranean","Brama brama",230,"37"
"Mediterranean","Capros aper",138,"37"
"Mediterranean","Capros aper",219,"37"
"Mediterranean","Capros aper",225,"37"
"Mediterranean","Capros aper",229,"37"
"Mediterranean","Capros aper",46,"37"
"Mediterranean","Capros aper",64,"37"
"Mediterranean","Capros aper",45,"37"
"Mediterranean","Capros aper",230,"37"
"Mediterranean","Centropomus mullus",138,"37"
"Mediterranean","Centropomus mullus",219,"37"
"Mediterranean","Centropomus mullus",225,"37"
"Mediterranean","Centropomus mullus",229,"37"
"Mediterranean","Centropomus mullus",46,"37"
"Mediterranean","Centropomus mullus",64,"37"
"Mediterranean","Centropomus mullus",45,"37"
"Mediterranean","Centropomus mullus",230,"37"
"Mediterranean","Centropomus rubens",138,"37"
"Mediterranean","Centropomus rubens",219,"37"
"Mediterranean","Centropomus rubens",225,"37"
"Mediterranean","Centropomus rubens",229,"37"
"Mediterranean","Centropomus rubens",46,"37"
"Mediterranean","Centropomus rubens",64,"37"
"Mediterranean","Centropomus rubens",45,"37"
"Mediterranean","Centropomus rubens",230,"37"
"Mediterranean","Cepola macrophthalma",138,"37"
"Mediterranean","Cepola macrophthalma",219,"37"
"Mediterranean","Cepola macrophthalma",225,"37"
"Mediterranean","Cepola macrophthalma",229,"37"
"Mediterranean","Cepola macrophthalma",46,"37"
"Mediterranean","Cepola macrophthalma",64,"37"
"Mediterranean","Cepola macrophthalma",45,"37"
"Mediterranean","Cepola macrophthalma",230,"37"
"Mediterranean","Chimaera monstrosa",138,"37"
"Mediterranean","Chimaera monstrosa",219,"37"
"Mediterranean","Chimaera monstrosa",225,"37"
"Mediterranean","Chimaera monstrosa",229,"37"
"Mediterranean","Chimaera monstrosa",46,"37"
"Mediterranean","Chimaera monstrosa",64,"37"
"Mediterranean","Chimaera monstrosa",45,"37"
"Mediterranean","Chimaera monstrosa",230,"37"
"Mediterranean","Coryphaena psittacus",138,"37"
"Mediterranean","Coryphaena psittacus",219,"37"
"Mediterranean","Coryphaena psittacus",225,"37"
"Mediterranean","Coryphaena psittacus",229,"37"
"Mediterranean","Coryphaena psittacus",46,"37"
"Mediterranean","Coryphaena psittacus",64,"37"
"Mediterranean","Coryphaena psittacus",45,"37"
"Mediterranean","Coryphaena psittacus",230,"37"
"Mediterranean","Cypselurus polyethmus",138,"37"
"Mediterranean","Cypselurus polyethmus",219,"37"
"Mediterranean","Cypselurus polyethmus",225,"37"
"Mediterranean","Cypselurus polyethmus",229,"37"
"Mediterranean","Cypselurus polyethmus",46,"37"
"Mediterranean","Cypselurus polyethmus",64,"37"
"Mediterranean","Cypselurus polyethmus",45,"37"
"Mediterranean","Cypselurus polyethmus",230,"37"
"Mediterranean","Dentex dentex",138,"37"
"Mediterranean","Dentex dentex",219,"37"
"Mediterranean","Dentex dentex",225,"37"
"Mediterranean","Dentex dentex",229,"37"
"Mediterranean","Dentex dentex",46,"37"
"Mediterranean","Dentex dentex",64,"37"
"Mediterranean","Dentex dentex",45,"37"
"Mediterranean","Dentex dentex",230,"37"
"Mediterranean","Dentex gibbosus",138,"37"
"Mediterranean","Dentex gibbosus",219,"37"
"Mediterranean","Dentex gibbosus",225,"37"
"Mediterranean","Dentex gibbosus",229,"37"
"Mediterranean","Dentex gibbosus",46,"37"
"Mediterranean","Dentex gibbosus",64,"37"
"Mediterranean","Dentex gibbosus",45,"37"
"Mediterranean","Dentex gibbosus",230,"37"
"Mediterranean","Dentex maroccanus",138,"37"
"Mediterranean","Dentex maroccanus",219,"37"
"Mediterranean","Dentex maroccanus",225,"37"
"Mediterranean","Dentex maroccanus",229,"37"
"Mediterranean","Dentex maroccanus",46,"37"
"Mediterranean","Dentex maroccanus",64,"37"
"Mediterranean","Dentex maroccanus",45,"37"
"Mediterranean","Dentex maroccanus",230,"37"
"Mediterranean","Dentex parvulus",138,"37"
"Mediterranean","Dentex parvulus",219,"37"
"Mediterranean","Dentex parvulus",225,"37"
"Mediterranean","Dentex parvulus",229,"37"
"Mediterranean","Dentex parvulus",46,"37"
"Mediterranean","Dentex parvulus",64,"37"
"Mediterranean","Dentex parvulus",45,"37"
"Mediterranean","Dentex parvulus",230,"37"
"Mediterranean","Dentex vulgaris",138,"37"
"Mediterranean","Dentex vulgaris",219,"37"
"Mediterranean","Dentex vulgaris",225,"37"
"Mediterranean","Dentex vulgaris",229,"37"
"Mediterranean","Dentex vulgaris",46,"37"
"Mediterranean","Dentex vulgaris",64,"37"
"Mediterranean","Dentex vulgaris",45,"37"
"Mediterranean","Dentex vulgaris",230,"37"
"Mediterranean","Dicentrarchus labrax",138,"37"
"Mediterranean","Dicentrarchus labrax",219,"37"
"Mediterranean","Dicentrarchus labrax",225,"37"
"Mediterranean","Dicentrarchus labrax",229,"37"
"Mediterranean","Dicentrarchus labrax",46,"37"
"Mediterranean","Dicentrarchus labrax",64,"37"
"Mediterranean","Dicentrarchus labrax",45,"37"
"Mediterranean","Dicentrarchus labrax",230,"37"
"Mediterranean","Dicentrarchus lupus",138,"37"
"Mediterranean","Dicentrarchus lupus",219,"37"
"Mediterranean","Dicentrarchus lupus",225,"37"
"Mediterranean","Dicentrarchus lupus",229,"37"
"Mediterranean","Dicentrarchus lupus",46,"37"
"Mediterranean","Dicentrarchus lupus",64,"37"
"Mediterranean","Dicentrarchus lupus",45,"37"
"Mediterranean","Dicentrarchus lupus",230,"37"
"Mediterranean","Dicentrarchus punctatus",138,"37"
"Mediterranean","Dicentrarchus punctatus",219,"37"
"Mediterranean","Dicentrarchus punctatus",225,"37"
"Mediterranean","Dicentrarchus punctatus",229,"37"
"Mediterranean","Dicentrarchus punctatus",46,"37"
"Mediterranean","Dicentrarchus punctatus",64,"37"
"Mediterranean","Dicentrarchus punctatus",45,"37"
"Mediterranean","Dicentrarchus punctatus",230,"37"
"Mediterranean","Epigonus denticulatus",138,"37"
"Mediterranean","Epigonus denticulatus",219,"37"
"Mediterranean","Epigonus denticulatus",225,"37"
"Mediterranean","Epigonus denticulatus",229,"37"
"Mediterranean","Epigonus denticulatus",46,"37"
"Mediterranean","Epigonus denticulatus",64,"37"
"Mediterranean","Epigonus denticulatus",45,"37"
"Mediterranean","Epigonus denticulatus",230,"37"
"Mediterranean","Euthynnus alletteratus",138,"37"
"Mediterranean","Euthynnus alletteratus",219,"37"
"Mediterranean","Euthynnus alletteratus",225,"37"
"Mediterranean","Euthynnus alletteratus",229,"37"
"Mediterranean","Euthynnus alletteratus",46,"37"
"Mediterranean","Euthynnus alletteratus",64,"37"
"Mediterranean","Euthynnus alletteratus",45,"37"
"Mediterranean","Euthynnus alletteratus",230,"37"
"Mediterranean","Gaidropsarus megalokynodon",138,"37"
"Mediterranean","Gaidropsarus megalokynodon",219,"37"
"Mediterranean","Gaidropsarus megalokynodon",225,"37"
"Mediterranean","Gaidropsarus megalokynodon",229,"37"
"Mediterranean","Gaidropsarus megalokynodon",46,"37"
"Mediterranean","Gaidropsarus megalokynodon",64,"37"
"Mediterranean","Gaidropsarus megalokynodon",45,"37"
"Mediterranean","Gaidropsarus megalokynodon",230,"37"
"Mediterranean","Gaidropsarus vulgaris",138,"37"
"Mediterranean","Gaidropsarus vulgaris",219,"37"
"Mediterranean","Gaidropsarus vulgaris",225,"37"
"Mediterranean","Gaidropsarus vulgaris",229,"37"
"Mediterranean","Gaidropsarus vulgaris",46,"37"
"Mediterranean","Gaidropsarus vulgaris",64,"37"
"Mediterranean","Gaidropsarus vulgaris",45,"37"
"Mediterranean","Gaidropsarus vulgaris",230,"37"
"Mediterranean","Helicolenus dactylopterus",138,"37"
"Mediterranean","Helicolenus dactylopterus",219,"37"
"Mediterranean","Helicolenus dactylopterus",225,"37"
"Mediterranean","Helicolenus dactylopterus",229,"37"
"Mediterranean","Helicolenus dactylopterus",46,"37"
"Mediterranean","Helicolenus dactylopterus",64,"37"
"Mediterranean","Helicolenus dactylopterus",45,"37"
"Mediterranean","Helicolenus dactylopterus",230,"37"
"Mediterranean","Leiognathus mediterraneus",138,"37"
"Mediterranean","Leiognathus mediterraneus",219,"37"
"Mediterranean","Leiognathus mediterraneus",225,"37"
"Mediterranean","Leiognathus mediterraneus",229,"37"
"Mediterranean","Leiognathus mediterraneus",46,"37"
"Mediterranean","Leiognathus mediterraneus",64,"37"
"Mediterranean","Leiognathus mediterraneus",45,"37"
"Mediterranean","Leiognathus mediterraneus",230,"37"
"Mediterranean","Lutjanus roissali",138,"37"
"Mediterranean","Lutjanus roissali",219,"37"
"Mediterranean","Lutjanus roissali",225,"37"
"Mediterranean","Lutjanus roissali",229,"37"
"Mediterranean","Lutjanus roissali",46,"37"
"Mediterranean","Lutjanus roissali",64,"37"
"Mediterranean","Lutjanus roissali",45,"37"
"Mediterranean","Lutjanus roissali",230,"37"
"Mediterranean","Merlangius merlangus",138,"37"
"Mediterranean","Merlangius merlangus",219,"37"
"Mediterranean","Merlangius merlangus",225,"37"
"Mediterranean","Merlangius merlangus",229,"37"
"Mediterranean","Merlangius merlangus",46,"37"
"Mediterranean","Merlangius merlangus",64,"37"
"Mediterranean","Merlangius merlangus",45,"37"
"Mediterranean","Merlangius merlangus",230,"37"
"Mediterranean","Merluccius merluccius",138,"37"
"Mediterranean","Merluccius merluccius",219,"37"
"Mediterranean","Merluccius merluccius",225,"37"
"Mediterranean","Merluccius merluccius",229,"37"
"Mediterranean","Merluccius merluccius",46,"37"
"Mediterranean","Merluccius merluccius",64,"37"
"Mediterranean","Merluccius merluccius",45,"37"
"Mediterranean","Merluccius merluccius",230,"37"
"Mediterranean","Merluccius uraleptus",138,"37"
"Mediterranean","Merluccius uraleptus",219,"37"
"Mediterranean","Merluccius uraleptus",225,"37"
"Mediterranean","Merluccius uraleptus",229,"37"
"Mediterranean","Merluccius uraleptus",46,"37"
"Mediterranean","Merluccius uraleptus",64,"37"
"Mediterranean","Merluccius uraleptus",45,"37"
"Mediterranean","Merluccius uraleptus",230,"37"
"Mediterranean","Merluccius vulgaris",138,"37"
"Mediterranean","Merluccius vulgaris",219,"37"
"Mediterranean","Merluccius vulgaris",225,"37"
"Mediterranean","Merluccius vulgaris",229,"37"
"Mediterranean","Merluccius vulgaris",46,"37"
"Mediterranean","Merluccius vulgaris",64,"37"
"Mediterranean","Merluccius vulgaris",45,"37"
"Mediterranean","Merluccius vulgaris",230,"37"
"Mediterranean","Molva byrkelange",138,"37"
"Mediterranean","Molva byrkelange",219,"37"
"Mediterranean","Molva byrkelange",225,"37"
"Mediterranean","Molva byrkelange",229,"37"
"Mediterranean","Molva byrkelange",46,"37"
"Mediterranean","Molva byrkelange",64,"37"
"Mediterranean","Molva byrkelange",45,"37"
"Mediterranean","Molva byrkelange",230,"37"
"Mediterranean","Molva dypterygia dypterygia",138,"37"
"Mediterranean","Molva dypterygia dypterygia",219,"37"
"Mediterranean","Molva dypterygia dypterygia",225,"37"
"Mediterranean","Molva dypterygia dypterygia",229,"37"
"Mediterranean","Molva dypterygia dypterygia",46,"37"
"Mediterranean","Molva dypterygia dypterygia",64,"37"
"Mediterranean","Molva dypterygia dypterygia",45,"37"
"Mediterranean","Molva dypterygia dypterygia",230,"37"
"Mediterranean","Molva dypterygia",138,"37"
"Mediterranean","Molva dypterygia",219,"37"
"Mediterranean","Molva dypterygia",225,"37"
"Mediterranean","Molva dypterygia",229,"37"
"Mediterranean","Molva dypterygia",46,"37"
"Mediterranean","Molva dypterygia",64,"37"
"Mediterranean","Molva dypterygia",45,"37"
"Mediterranean","Molva dypterygia",230,"37"
"Mediterranean","Molva molva",138,"37"
"Mediterranean","Molva molva",219,"37"
"Mediterranean","Molva molva",225,"37"
"Mediterranean","Molva molva",229,"37"
"Mediterranean","Molva molva",46,"37"
"Mediterranean","Molva molva",64,"37"
"Mediterranean","Molva molva",45,"37"
"Mediterranean","Molva molva",230,"37"
"Mediterranean","Molva vulgaris",138,"37"
"Mediterranean","Molva vulgaris",219,"37"
"Mediterranean","Molva vulgaris",225,"37"
"Mediterranean","Molva vulgaris",229,"37"
"Mediterranean","Molva vulgaris",46,"37"
"Mediterranean","Molva vulgaris",64,"37"
"Mediterranean","Molva vulgaris",45,"37"
"Mediterranean","Molva vulgaris",230,"37"
"Mediterranean","Mora moro",138,"37"
"Mediterranean","Mora moro",219,"37"
"Mediterranean","Mora moro",225,"37"
"Mediterranean","Mora moro",229,"37"
"Mediterranean","Mora moro",46,"37"
"Mediterranean","Mora moro",64,"37"
"Mediterranean","Mora moro",45,"37"
"Mediterranean","Mora moro",230,"37"
"Mediterranean","Morone labrax",138,"37"
"Mediterranean","Morone labrax",219,"37"
"Mediterranean","Morone labrax",225,"37"
"Mediterranean","Morone labrax",229,"37"
"Mediterranean","Morone labrax",46,"37"
"Mediterranean","Morone labrax",64,"37"
"Mediterranean","Morone labrax",45,"37"
"Mediterranean","Morone labrax",230,"37"
"Mediterranean","Morone punctatus",138,"37"
"Mediterranean","Morone punctatus",219,"37"
"Mediterranean","Morone punctatus",225,"37"
"Mediterranean","Morone punctatus",229,"37"
"Mediterranean","Morone punctatus",46,"37"
"Mediterranean","Morone punctatus",64,"37"
"Mediterranean","Morone punctatus",45,"37"
"Mediterranean","Morone punctatus",230,"37"
"Mediterranean","Mullus imberbis",138,"37"
"Mediterranean","Mullus imberbis",219,"37"
"Mediterranean","Mullus imberbis",225,"37"
"Mediterranean","Mullus imberbis",229,"37"
"Mediterranean","Mullus imberbis",46,"37"
"Mediterranean","Mullus imberbis",64,"37"
"Mediterranean","Mullus imberbis",45,"37"
"Mediterranean","Mullus imberbis",230,"37"
"Mediterranean","Oblada melanura",138,"37"
"Mediterranean","Oblada melanura",219,"37"
"Mediterranean","Oblada melanura",225,"37"
"Mediterranean","Oblada melanura",229,"37"
"Mediterranean","Oblada melanura",46,"37"
"Mediterranean","Oblada melanura",64,"37"
"Mediterranean","Oblada melanura",45,"37"
"Mediterranean","Oblada melanura",230,"37"
"Mediterranean","Orcynopsis unicolor",138,"37"
"Mediterranean","Orcynopsis unicolor",219,"37"
"Mediterranean","Orcynopsis unicolor",225,"37"
"Mediterranean","Orcynopsis unicolor",229,"37"
"Mediterranean","Orcynopsis unicolor",46,"37"
"Mediterranean","Orcynopsis unicolor",64,"37"
"Mediterranean","Orcynopsis unicolor",45,"37"
"Mediterranean","Orcynopsis unicolor",230,"37"
"Mediterranean","Pagrus pagrus",138,"37"
"Mediterranean","Pagrus pagrus",219,"37"
"Mediterranean","Pagrus pagrus",225,"37"
"Mediterranean","Pagrus pagrus",229,"37"
"Mediterranean","Pagrus pagrus",46,"37"
"Mediterranean","Pagrus pagrus",64,"37"
"Mediterranean","Pagrus pagrus",45,"37"
"Mediterranean","Pagrus pagrus",230,"37"
"Mediterranean","Pagrus vulgaris",138,"37"
"Mediterranean","Pagrus vulgaris",219,"37"
"Mediterranean","Pagrus vulgaris",225,"37"
"Mediterranean","Pagrus vulgaris",229,"37"
"Mediterranean","Pagrus vulgaris",46,"37"
"Mediterranean","Pagrus vulgaris",64,"37"
"Mediterranean","Pagrus vulgaris",45,"37"
"Mediterranean","Pagrus vulgaris",230,"37"
"Mediterranean","Phycis blennoides",138,"37"
"Mediterranean","Phycis blennoides",219,"37"
"Mediterranean","Phycis blennoides",225,"37"
"Mediterranean","Phycis blennoides",229,"37"
"Mediterranean","Phycis blennoides",46,"37"
"Mediterranean","Phycis blennoides",64,"37"
"Mediterranean","Phycis blennoides",45,"37"
"Mediterranean","Phycis blennoides",230,"37"
"Mediterranean","Phycis phycis",138,"37"
"Mediterranean","Phycis phycis",219,"37"
"Mediterranean","Phycis phycis",225,"37"
"Mediterranean","Phycis phycis",229,"37"
"Mediterranean","Phycis phycis",46,"37"
"Mediterranean","Phycis phycis",64,"37"
"Mediterranean","Phycis phycis",45,"37"
"Mediterranean","Phycis phycis",230,"37"
"Mediterranean","Phycis tinca",138,"37"
"Mediterranean","Phycis tinca",219,"37"
"Mediterranean","Phycis tinca",225,"37"
"Mediterranean","Phycis tinca",229,"37"
"Mediterranean","Phycis tinca",46,"37"
"Mediterranean","Phycis tinca",64,"37"
"Mediterranean","Phycis tinca",45,"37"
"Mediterranean","Phycis tinca",230,"37"
"Mediterranean","Polyprion americanus",138,"37"
"Mediterranean","Polyprion americanus",219,"37"
"Mediterranean","Polyprion americanus",225,"37"
"Mediterranean","Polyprion americanus",229,"37"
"Mediterranean","Polyprion americanus",46,"37"
"Mediterranean","Polyprion americanus",64,"37"
"Mediterranean","Polyprion americanus",45,"37"
"Mediterranean","Polyprion americanus",230,"37"
"Mediterranean","Pomadasys stridens",138,"37"
"Mediterranean","Pomadasys stridens",219,"37"
"Mediterranean","Pomadasys stridens",225,"37"
"Mediterranean","Pomadasys stridens",229,"37"
"Mediterranean","Pomadasys stridens",46,"37"
"Mediterranean","Pomadasys stridens",64,"37"
"Mediterranean","Pomadasys stridens",45,"37"
"Mediterranean","Pomadasys stridens",230,"37"
"Mediterranean","Pomatomus saltatrix",138,"37"
"Mediterranean","Pomatomus saltatrix",219,"37"
"Mediterranean","Pomatomus saltatrix",225,"37"
"Mediterranean","Pomatomus saltatrix",229,"37"
"Mediterranean","Pomatomus saltatrix",46,"37"
"Mediterranean","Pomatomus saltatrix",64,"37"
"Mediterranean","Pomatomus saltatrix",45,"37"
"Mediterranean","Pomatomus saltatrix",230,"37"
"Mediterranean","Sardinella aurita",138,"37"
"Mediterranean","Sardinella aurita",219,"37"
"Mediterranean","Sardinella aurita",225,"37"
"Mediterranean","Sardinella aurita",229,"37"
"Mediterranean","Sardinella aurita",46,"37"
"Mediterranean","Sardinella aurita",64,"37"
"Mediterranean","Sardinella aurita",45,"37"
"Mediterranean","Sardinella aurita",230,"37"
"Mediterranean","Sardinella pinnula",138,"37"
"Mediterranean","Sardinella pinnula",219,"37"
"Mediterranean","Sardinella pinnula",225,"37"
"Mediterranean","Sardinella pinnula",229,"37"
"Mediterranean","Sardinella pinnula",46,"37"
"Mediterranean","Sardinella pinnula",64,"37"
"Mediterranean","Sardinella pinnula",45,"37"
"Mediterranean","Sardinella pinnula",230,"37"
"Mediterranean","Sciaena umbra",138,"37"
"Mediterranean","Sciaena umbra",219,"37"
"Mediterranean","Sciaena umbra",225,"37"
"Mediterranean","Sciaena umbra",229,"37"
"Mediterranean","Sciaena umbra",46,"37"
"Mediterranean","Sciaena umbra",64,"37"
"Mediterranean","Sciaena umbra",45,"37"
"Mediterranean","Sciaena umbra",230,"37"
"Mediterranean","Scomber amarui",138,"37"
"Mediterranean","Scomber amarui",219,"37"
"Mediterranean","Scomber amarui",225,"37"
"Mediterranean","Scomber amarui",229,"37"
"Mediterranean","Scomber amarui",46,"37"
"Mediterranean","Scomber amarui",64,"37"
"Mediterranean","Scomber amarui",45,"37"
"Mediterranean","Scomber amarui",230,"37"
"Mediterranean","Scomber germon",138,"37"
"Mediterranean","Scomber germon",219,"37"
"Mediterranean","Scomber germon",225,"37"
"Mediterranean","Scomber germon",229,"37"
"Mediterranean","Scomber germon",46,"37"
"Mediterranean","Scomber germon",64,"37"
"Mediterranean","Scomber germon",45,"37"
"Mediterranean","Scomber germon",230,"37"
"Mediterranean","Scomber quadripunctatus",138,"37"
"Mediterranean","Scomber quadripunctatus",219,"37"
"Mediterranean","Scomber quadripunctatus",225,"37"
