Mapping parameters for Sardinella sindensis (Sind sardinella)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  61,
Bounding Box (NSWE): ,30,10,42,74

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,24.49,25.01,28.47,32.67
Salinity (psu),1,30.99,35.41,39.5,40
Primary Production,1,612,778,2642,3467.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,8.5,17,90,121
 

Map data (HSPEC) for predicted occurrences (n = 389): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sardinella,sindensis,10.75,46.25,1104:206:3,1.00,,,,,,
Sardinella,sindensis,10.75,46.75,1104:206:4,1.00,,,,,,
Sardinella,sindensis,10.75,47.25,1104:207:3,1.00,,,,,,
Sardinella,sindensis,11.25,47.25,1104:217:1,1.00,,,,,,
Sardinella,sindensis,11.25,47.75,1104:217:2,1.00,,,,,,
Sardinella,sindensis,11.25,48.25,1104:218:1,1.00,,,,,,
Sardinella,sindensis,11.25,48.75,1104:218:2,1.00,,,,,,
Sardinella,sindensis,11.25,49.25,1104:219:1,1.00,,,,,,
Sardinella,sindensis,11.25,49.75,1104:219:2,1.00,,,,,,
Sardinella,sindensis,11.75,49.75,1104:219:4,1.00,,,,,,
Sardinella,sindensis,12.75,45.25,1104:225:3,1.00,,,,,,
Sardinella,sindensis,13.25,45.25,1104:235:1,1.00,,,,,,
Sardinella,sindensis,13.25,45.75,1104:235:2,1.00,,,,,,
Sardinella,sindensis,13.25,46.25,1104:236:1,1.00,,,,,,
Sardinella,sindensis,13.25,46.75,1104:236:2,1.00,,,,,,
Sardinella,sindensis,13.75,46.75,1104:236:4,1.00,,,,,,
Sardinella,sindensis,13.75,47.25,1104:237:3,1.00,,,,,,
Sardinella,sindensis,13.75,47.75,1104:237:4,1.00,,,,,,
Sardinella,sindensis,13.75,48.25,1104:238:3,1.00,,,,,,
Sardinella,sindensis,14.25,47.75,1104:247:2,1.00,,,,,,
Sardinella,sindensis,14.25,48.25,1104:248:1,0.88,,,,,,
Sardinella,sindensis,14.25,48.75,1104:248:2,1.00,,,,,,
Sardinella,sindensis,14.25,49.25,1104:249:1,1.00,,,,,,
Sardinella,sindensis,14.75,49.25,1104:249:3,1.00,,,,,,
Sardinella,sindensis,14.75,49.75,1104:249:4,1.00,,,,,,
Sardinella,sindensis,15.25,42.25,1104:352:1,0.87,,,,,,
Sardinella,sindensis,15.25,42.75,1104:352:2,0.87,,,,,,
Sardinella,sindensis,15.75,42.25,1104:352:3,0.87,,,,,,
Sardinella,sindensis,15.75,42.75,1104:352:4,0.87,,,,,,
Sardinella,sindensis,16.25,42.25,1104:362:1,0.82,,,,,,
Sardinella,sindensis,16.25,42.75,1104:362:2,0.82,,,,,,
Sardinella,sindensis,16.75,42.25,1104:362:3,0.82,,,,,,
Sardinella,sindensis,16.75,42.75,1104:362:4,0.82,,,,,,
Sardinella,sindensis,10.25,50.75,1105:100:2,0.94,,,,,,
Sardinella,sindensis,10.25,51.25,1105:101:1,0.94,,,,,,
Sardinella,sindensis,10.75,51.25,1105:101:3,1.00,,,,,,
Sardinella,sindensis,11.75,50.25,1105:110:3,1.00,,,,,,
Sardinella,sindensis,11.75,50.75,1105:110:4,1.00,,,,,,
Sardinella,sindensis,11.25,51.25,1105:111:1,1.00,,,,,,
Sardinella,sindensis,11.75,51.25,1105:111:3,1.00,,,,,,
Sardinella,sindensis,11.75,52.75,1105:112:4,1.00,,,,,,
Sardinella,sindensis,11.75,53.25,1105:113:3,1.00,,,,,,
Sardinella,sindensis,12.25,50.75,1105:120:2,1.00,,,,,,
Sardinella,sindensis,12.25,52.25,1105:122:1,1.00,,,,,,
Sardinella,sindensis,12.25,52.75,1105:122:2,1.00,,,,,,
Sardinella,sindensis,12.25,53.25,1105:123:1,1.00,,,,,,
Sardinella,sindensis,12.25,53.75,1105:123:2,1.00,,,,,,
Sardinella,sindensis,12.75,53.25,1105:123:3,1.00,,,,,,
Sardinella,sindensis,12.75,53.75,1105:123:4,1.00,,,,,,
Sardinella,sindensis,12.25,54.25,1105:124:1,1.00,,,,,,
Sardinella,sindensis,12.75,54.25,1105:124:3,1.00,,,,,,
Sardinella,sindensis,12.75,54.75,1105:124:4,1.00,,,,,,
Sardinella,sindensis,14.75,50.25,1105:140:3,1.00,,,,,,
Sardinella,sindensis,15.25,50.25,1105:350:1,1.00,,,,,,
Sardinella,sindensis,15.25,50.75,1105:350:2,1.00,,,,,,
Sardinella,sindensis,15.25,51.25,1105:351:1,1.00,,,,,,
Sardinella,sindensis,15.25,51.75,1105:351:2,1.00,,,,,,
Sardinella,sindensis,15.75,51.75,1105:351:4,1.00,,,,,,
Sardinella,sindensis,15.25,52.25,1105:352:1,1.00,,,,,,
Sardinella,sindensis,15.75,52.25,1105:352:3,1.00,,,,,,
Sardinella,sindensis,16.25,52.25,1105:362:1,1.00,,,,,,
Sardinella,sindensis,16.25,52.75,1105:362:2,1.00,,,,,,
Sardinella,sindensis,16.75,52.75,1105:362:4,1.00,,,,,,
Sardinella,sindensis,16.75,53.25,1105:363:3,1.00,,,,,,
Sardinella,sindensis,16.75,53.75,1105:363:4,1.00,,,,,,
Sardinella,sindensis,16.75,54.25,1105:364:3,1.00,,,,,,
Sardinella,sindensis,16.75,54.75,1105:364:4,1.00,,,,,,
Sardinella,sindensis,17.25,54.25,1105:374:1,1.00,,,,,,
Sardinella,sindensis,17.25,54.75,1105:374:2,1.00,,,,,,
Sardinella,sindensis,17.25,55.25,1105:475:1,1.00,,,,,,
Sardinella,sindensis,17.75,55.25,1105:475:3,1.00,,,,,,
Sardinella,sindensis,17.75,55.75,1105:475:4,1.00,,,,,,
Sardinella,sindensis,17.75,56.25,1105:476:3,1.00,,,,,,
Sardinella,sindensis,17.75,56.75,1105:476:4,1.00,,,,,,
Sardinella,sindensis,17.75,57.25,1105:477:3,1.00,,,,,,
Sardinella,sindensis,18.25,56.25,1105:486:1,1.00,,,,,,
Sardinella,sindensis,18.25,57.25,1105:487:1,1.00,,,,,,
Sardinella,sindensis,18.75,57.25,1105:487:3,1.00,,,,,,
Sardinella,sindensis,18.75,57.75,1105:487:4,1.00,,,,,,
Sardinella,sindensis,19.25,57.75,1105:497:2,1.00,,,,,,
Sardinella,sindensis,19.75,58.25,1105:498:3,1.00,,,,,,
Sardinella,sindensis,19.75,58.75,1105:498:4,1.00,,,,,,
Sardinella,sindensis,10.25,73.75,1107:103:2,0.81,,,,,,
Sardinella,sindensis,10.75,73.75,1107:103:4,0.81,,,,,,
Sardinella,sindensis,13.75,73.75,1107:133:4,0.82,,,,,,
Sardinella,sindensis,14.25,73.75,1107:143:2,0.86,,,,,,
Sardinella,sindensis,14.75,73.25,1107:143:3,0.86,,,,,,
