Mapping parameters for Hydrolagus novaezealandiae (Dark ghost shark)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  81 ,
Bounding Box (NSWE): ,-34,-47,164,-175

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,25,141,428,950
Temperature (°C),1,2.81,8.51,16.46,22.17
Salinity (psu),1,33.7,34.36,35.43,35.93
Primary Production,1,133,306,1017,1558
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,19,319,519
 

Map data (HSPEC) for predicted occurrences (n = 421): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Hydrolagus,novaezealandiae,-39.75,175.25,3317:495:3,0.02,0.017241379310345,1,1,1,1,1
Hydrolagus,novaezealandiae,-39.25,176.75,3317:496:2,0.15,0.14655172413793,1,1,1,1,1
Hydrolagus,novaezealandiae,-40.25,167.75,3416:207:2,0.08,0.080459770114943,1,1,1,1,1
Hydrolagus,novaezealandiae,-40.75,167.75,3416:207:4,0.17,0.17241379310345,1,1,1,1,1
Hydrolagus,novaezealandiae,-40.75,168.25,3416:208:3,0.10,0.097701149425287,1,1,1,1,1
Hydrolagus,novaezealandiae,-40.75,168.75,3416:208:4,0.13,0.13218390804598,1,1,1,1,1
Hydrolagus,novaezealandiae,-40.75,169.25,3416:209:3,0.19,0.18773946360153,1,1,1,1,1
Hydrolagus,novaezealandiae,-41.25,168.25,3416:218:1,0.05,0.051724137931034,1,1,1,1,1
Hydrolagus,novaezealandiae,-41.25,168.75,3416:218:2,0.06,0.061302681992337,1,1,1,1,1
Hydrolagus,novaezealandiae,-41.75,168.75,3416:218:4,0.01,0.0076628352490421,1,1,1,1,1
Hydrolagus,novaezealandiae,-41.25,169.25,3416:219:1,0.16,0.15708812260536,1,1,1,1,1
Hydrolagus,novaezealandiae,-41.75,169.25,3416:219:3,0.03,0.030651340996169,1,1,1,1,1
Hydrolagus,novaezealandiae,-43.25,168.75,3416:238:2,0.17,0.16858237547893,1,1,1,1,1
Hydrolagus,novaezealandiae,-40.25,173.75,3417:103:2,0.04,0.78448275862069,1,1,0.052023121387283,1,1
Hydrolagus,novaezealandiae,-40.75,173.75,3417:103:4,0.14,0.87931034482759,1,1,0.16184971098266,1,1
Hydrolagus,novaezealandiae,-40.25,177.75,3417:207:2,0.10,0.10153256704981,1,1,1,1,1
Hydrolagus,novaezealandiae,-44.25,178.25,3417:248:1,0.17,0.17432950191571,1,1,1,1,1
Hydrolagus,novaezealandiae,-45.25,172.25,3417:352:1,0.10,0.10344827586207,1,1,1,1,1
Hydrolagus,novaezealandiae,-44.75,-177.75,5417:247:4,0.09,0.090038314176245,1,1,1,1,1
