Mapping parameters for Nemipterus bipunctatus (Delagoa threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  57,
Bounding Box (NSWE): ,31,-30,31,103

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,18,26,59,100
Temperature (°C),1,23.68,25.46,28.88,33.08
Salinity (psu),1,28.81,31.87,39.2,39.7
Primary Production,1,139,333,1862,2838
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,6,15,133,547
 

Map data (HSPEC) for predicted occurrences (n = 1401): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Nemipterus,bipunctatus,-28.25,32.75,3203:382:2,0.38,,,,,,
Nemipterus,bipunctatus,-28.75,32.25,3203:382:3,0.38,,,,,,
Nemipterus,bipunctatus,6.75,49.75,1004:469:4,0.46,,,,,,
Nemipterus,bipunctatus,7.75,77.75,1007:477:4,0.54,,,,,,
Nemipterus,bipunctatus,5.75,97.75,1009:457:4,0.59,,,,,,
Nemipterus,bipunctatus,7.75,97.75,1009:477:4,0.54,,,,,,
Nemipterus,bipunctatus,13.75,47.75,1104:237:4,0.55,,,,,,
Nemipterus,bipunctatus,13.75,48.25,1104:238:3,0.59,,,,,,
Nemipterus,bipunctatus,14.25,47.75,1104:247:2,0.43,,,,,,
Nemipterus,bipunctatus,11.25,51.25,1105:111:1,0.49,,,,,,
Nemipterus,bipunctatus,17.25,54.75,1105:374:2,0.57,,,,,,
Nemipterus,bipunctatus,18.25,57.25,1105:487:1,0.50,,,,,,
Nemipterus,bipunctatus,19.25,72.25,1107:392:1,0.49,,,,,,
Nemipterus,bipunctatus,16.25,81.75,1108:361:2,0.40,,,,,,
Nemipterus,bipunctatus,16.25,82.25,1108:362:1,0.40,,,,,,
Nemipterus,bipunctatus,16.75,82.25,1108:362:3,0.40,,,,,,
Nemipterus,bipunctatus,16.75,82.75,1108:362:4,0.40,,,,,,
Nemipterus,bipunctatus,17.25,82.25,1108:372:1,0.40,,,,,,
Nemipterus,bipunctatus,17.25,82.75,1108:372:2,0.40,,,,,,
Nemipterus,bipunctatus,17.25,83.25,1108:373:1,0.55,,,,,,
Nemipterus,bipunctatus,17.25,83.75,1108:373:2,0.59,,,,,,
Nemipterus,bipunctatus,17.75,83.25,1108:373:3,0.59,,,,,,
Nemipterus,bipunctatus,17.75,83.75,1108:373:4,0.59,,,,,,
