Mapping parameters for Ciliata septentrionalis (Northern rockling)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 ,
Bounding Box (NSWE): ,70,44,-24,22

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,10,10,50,90
Temperature (°C),1,-0.73,3.03,11.43,18.575
Salinity (psu),1,27.4848,34.30795,35.30795,35.80795
Primary Production,1,318,380,1526,2591.5
Sea Ice Concentration,1,-1,0,0.02,0.05
Distance to Land (km),0,5,8,142,253
 

Map data (HSPEC) for predicted occurrences (n = 860): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Ciliata,septentrionalis,65.75,-13.25,7601:353:3,0.02,0.175,0.210106382979,1,1,0.666666666667,1
Ciliata,septentrionalis,66.25,-14.75,7601:364:2,0.18,1,0.526595744681,1,1,0.333333333333,1
Ciliata,septentrionalis,66.25,-20.75,7602:360:2,0.10,0.1,1,1,1,1,1
Ciliata,septentrionalis,66.75,-23.75,7602:363:4,0.05,0.075,1,1,1,0.666666666667,1
Ciliata,septentrionalis,51.75,4.25,1500:114:3,0.32,1,1,0.73677113943,0.438761145002,1,1
Ciliata,septentrionalis,52.25,3.75,1500:123:2,0.37,1,1,1,0.37400281558,1,1
Ciliata,septentrionalis,52.75,4.25,1500:124:3,0.28,1,1,0.983358126379,0.282965743782,1,1
Ciliata,septentrionalis,53.25,5.25,1500:235:1,0.26,1,1,0.954060807691,0.274519005162,1,1
Ciliata,septentrionalis,56.25,1.25,1500:361:1,0.38,0.375,1,1,1,1,1
Ciliata,septentrionalis,56.75,1.25,1500:361:3,0.20,0.2,1,1,1,1,1
Ciliata,septentrionalis,57.25,0.25,1500:370:1,0.32,0.325,1,1,1,1,1
Ciliata,septentrionalis,57.25,1.25,1500:371:1,0.20,0.2,1,1,1,1,1
Ciliata,septentrionalis,57.25,2.25,1500:372:1,0.38,0.375,1,1,1,1,1
Ciliata,septentrionalis,58.25,3.25,1500:383:1,0.32,0.325,1,1,1,1,1
Ciliata,septentrionalis,55.75,7.75,1500:457:4,0.21,1,1,0.965653693675,0.212576255279,1,1
Ciliata,septentrionalis,57.75,5.75,1500:475:4,0.38,0.375,1,1,1,1,1
Ciliata,septentrionalis,57.75,8.25,1500:478:3,0.32,0.325,1,1,0.986860628813,1,1
Ciliata,septentrionalis,55.75,11.25,1501:351:3,0.26,1,1,0.396473769447,1,0.666666666667,1
Ciliata,septentrionalis,55.25,12.75,1501:352:2,0.22,1,1,0.396473769447,0.848897231347,0.666666666667,1
Ciliata,septentrionalis,56.25,12.25,1501:362:1,0.23,1,1,0.396473769447,0.865790708588,0.666666666667,1
Ciliata,septentrionalis,56.75,12.25,1501:362:3,0.38,1,1,0.638502744334,0.884561238855,0.666666666667,1
Ciliata,septentrionalis,57.25,10.75,1501:370:2,0.26,1,1,0.396473769447,1,0.666666666667,1
Ciliata,septentrionalis,57.25,11.25,1501:371:1,0.38,1,1,0.396473769447,0.966213045519,1,1
Ciliata,septentrionalis,57.25,11.75,1501:371:2,0.39,1,1,0.638502744334,0.908024401689,0.666666666667,1
Ciliata,septentrionalis,57.25,12.25,1501:372:1,0.37,1,1,0.638502744334,0.879868606288,0.666666666667,1
Ciliata,septentrionalis,59.25,11.25,1501:391:1,0.32,1,1,0.412478107619,0.775692163304,1,1
Ciliata,septentrionalis,68.75,15.75,1601:485:4,0.33,1,1,1,1,0.333333333333,1
Ciliata,septentrionalis,68.25,16.75,1601:486:2,0.33,1,1,1,1,0.333333333333,1
Ciliata,septentrionalis,44.75,-1.75,7400:141:4,0.38,1,0.91322603219,0.4211,1,1,1
Ciliata,septentrionalis,44.75,-2.25,7400:142:3,0.27,1,1,0.2699,1,1,1
Ciliata,septentrionalis,45.75,-1.25,7400:351:3,0.33,1,0.582925122463,1,0.573908962928,1,1
Ciliata,septentrionalis,45.75,-2.25,7400:352:3,0.34,0.625,0.951014695591,0.5663,1,1,1
Ciliata,septentrionalis,45.75,-3.25,7400:353:3,0.37,1,0.948215535339,0.3867,1,1,1
Ciliata,septentrionalis,46.75,-3.25,7400:363:3,0.32,0.525,0.962211336599,0.6241,1,1,1
Ciliata,septentrionalis,47.75,-7.25,7400:477:3,0.30,0.625,1,0.4879,1,1,1
Ciliata,septentrionalis,48.75,-8.75,7400:488:4,0.32,0.575,1,0.5601,1,1,1
Ciliata,septentrionalis,49.25,-7.25,7400:497:1,0.25,0.3,1,0.8223,1,1,1
Ciliata,septentrionalis,53.75,-2.75,7500:132:4,0.33,1,1,1,1,0.333333333333,1
Ciliata,septentrionalis,50.25,-6.75,7500:206:2,0.30,0.3,1,1,1,1,1
Ciliata,septentrionalis,50.75,-6.25,7500:206:3,0.22,0.225,1,1,1,1,1
Ciliata,septentrionalis,50.75,-7.25,7500:207:3,0.35,0.35,1,1,1,1,1
Ciliata,septentrionalis,50.75,-7.75,7500:207:4,0.22,0.225,1,1,1,1,1
Ciliata,septentrionalis,50.75,-8.75,7500:208:4,0.29,0.325,1,0.8903,1,1,1
Ciliata,septentrionalis,51.25,-5.75,7500:215:2,0.38,0.375,1,1,1,1,1
Ciliata,septentrionalis,51.25,-8.25,7500:218:1,0.20,0.2,1,1,1,1,1
Ciliata,septentrionalis,58.75,-1.75,7500:381:4,0.32,0.325,1,1,1,1,1
Ciliata,septentrionalis,59.75,-3.75,7500:393:4,0.30,0.3,1,1,1,1,1
Ciliata,septentrionalis,57.25,-8.25,7500:478:1,0.35,0.4,1,0.8759,1,1,1
Ciliata,septentrionalis,58.75,-5.75,7500:485:4,0.20,0.2,1,1,1,1,1
Ciliata,septentrionalis,51.25,-10.25,7501:110:1,0.26,0.375,1,0.6889,1,1,1
Ciliata,septentrionalis,53.25,-10.75,7501:130:2,0.38,0.475,1,0.8063,1,1,1
Ciliata,septentrionalis,54.75,-10.25,7501:140:3,0.24,0.3,1,0.7933,1,1,1
Ciliata,septentrionalis,57.25,-14.25,7501:374:1,0.23,0.25,1,0.9397,1,1,1
Ciliata,septentrionalis,60.25,-2.75,7600:102:2,0.38,0.4,1,0.9481,1,1,1
Ciliata,septentrionalis,60.75,-6.75,7600:206:4,0.20,0.2,1,1,1,1,1
Ciliata,septentrionalis,61.25,-7.25,7600:217:1,0.31,0.35,1,1,0.887096774194,1,1
Ciliata,septentrionalis,61.25,-8.25,7600:218:1,0.20,0.2,1,1,1,1,1
Ciliata,septentrionalis,63.75,-15.25,7601:235:3,0.30,0.3,1,1,1,1,1
Ciliata,septentrionalis,63.25,-16.75,7601:236:2,0.28,0.275,1,1,1,1,1
Ciliata,septentrionalis,65.75,-13.75,7601:353:4,0.28,1,0.284574468085,1,1,1,1
Ciliata,septentrionalis,65.75,-14.25,7601:354:3,0.29,1,0.428191489362,1,1,0.666666666667,1
Ciliata,septentrionalis,66.25,-14.25,7601:364:1,0.39,1,0.38829787234,1,1,1,1
Ciliata,septentrionalis,66.25,-15.75,7601:465:2,0.32,1,0.321808510638,1,1,1,1
Ciliata,septentrionalis,66.75,-15.75,7601:465:4,0.23,1,0.226063829787,1,1,1,1
Ciliata,septentrionalis,66.75,-16.25,7601:466:3,0.21,1,0.31914893617,1,1,0.666666666667,1
Ciliata,septentrionalis,66.75,-16.75,7601:466:4,0.23,1,0.351063829787,1,1,0.666666666667,1
Ciliata,septentrionalis,66.25,-17.75,7601:467:2,0.32,1,0.973404255319,1,1,0.333333333333,1
Ciliata,septentrionalis,66.75,-17.75,7601:467:4,0.25,1,0.25,1,1,1,1
Ciliata,septentrionalis,66.25,-18.75,7601:468:2,0.26,1,0.771276595745,1,1,0.333333333333,1
Ciliata,septentrionalis,66.25,-19.25,7601:469:1,0.33,1,1,1,1,0.333333333333,1
Ciliata,septentrionalis,66.75,-19.75,7601:469:4,0.25,0.325,0.771276595745,1,1,1,1
Ciliata,septentrionalis,63.25,-23.75,7602:133:2,0.28,0.275,1,1,1,1,1
Ciliata,septentrionalis,65.75,-20.75,7602:350:4,0.33,1,1,1,1,0.333333333333,1
Ciliata,septentrionalis,65.25,-23.75,7602:353:2,0.33,1,1,1,1,0.333333333333,1
Ciliata,septentrionalis,66.75,-20.25,7602:360:3,0.33,0.4,0.827127659574,1,1,1,1
Ciliata,septentrionalis,66.75,-21.75,7602:361:4,0.32,0.975,1,1,1,0.333333333333,1
Ciliata,septentrionalis,51.75,1.75,1500:111:4,0.56,1,1,1,0.562646644768,1,1
Ciliata,septentrionalis,51.25,3.75,1500:113:2,0.49,1,1,0.976235316533,0.501642421398,1,1
Ciliata,septentrionalis,51.25,4.25,1500:114:1,0.40,1,1,0.73677113943,0.539183481933,1,1
Ciliata,septentrionalis,52.25,1.75,1500:121:2,0.42,1,1,1,0.419990614735,1,1
Ciliata,septentrionalis,52.75,1.75,1500:121:4,0.47,1,1,1,0.473486625997,1,1
Ciliata,septentrionalis,52.75,2.25,1500:122:3,0.46,1,1,1,0.46316283435,1,1
Ciliata,septentrionalis,52.25,4.25,1500:124:1,0.57,1,1,0.983358126379,0.581417175035,1,1
