Mapping parameters for Sphyrna tudes (Smalleye hammerhead)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  31 |  37 |  41 ,
Bounding Box (NSWE): ,46,-57,-73,37

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,2,12,20
Temperature (°C),1,1.71,2.94,27.36,27.86
Salinity (psu),1,33.31355,34.6673,36.0736,38.9
Primary Production,1,370,492,2172,2801
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,7,8,175,309
 

Map data (HSPEC) for predicted occurrences (n = 843): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sphyrna,tudes,40.25,18.75,1401:208:2,0.02,1,1,0.0386003396547,0.590163934426,1,1
Sphyrna,tudes,40.75,18.25,1401:208:3,0.08,1,1,0.0793235210869,1,1,1
Sphyrna,tudes,40.25,19.25,1401:209:1,0.03,1,1,0.0572105859043,0.475409836066,1,1
Sphyrna,tudes,40.25,19.75,1401:209:2,0.03,1,1,0.0304981602038,1,1,1
Sphyrna,tudes,40.75,19.25,1401:209:3,0.06,1,1,0.063826776111,1,1,1
Sphyrna,tudes,40.75,19.75,1401:209:4,0.16,1,1,0.159425417492,1,1,1
Sphyrna,tudes,41.75,15.25,1401:215:3,0.02,1,1,0.204924992924,0.114754098361,1,1
Sphyrna,tudes,41.75,15.75,1401:215:4,0.15,1,1,0.159849985848,0.926229508197,1,1
Sphyrna,tudes,41.25,16.25,1401:216:1,0.13,1,1,0.134941975658,1,1,1
Sphyrna,tudes,41.25,16.75,1401:216:2,0.10,1,1,0.101259552788,1,1,1
Sphyrna,tudes,41.75,16.25,1401:216:3,0.11,1,1,0.118631474667,0.893442622951,1,1
Sphyrna,tudes,41.25,17.25,1401:217:1,0.09,1,1,0.0874610812341,1,1,1
Sphyrna,tudes,41.25,19.25,1401:219:1,0.10,1,1,0.100268893292,1,1,1
Sphyrna,tudes,41.25,19.75,1401:219:2,0.18,1,1,0.176514293801,1,1,1
Sphyrna,tudes,41.75,19.25,1401:219:3,0.10,1,1,0.100268893292,1,1,1
Sphyrna,tudes,41.75,19.75,1401:219:4,0.16,1,1,0.161406736485,1,1,1
Sphyrna,tudes,42.25,15.25,1401:225:1,0.16,1,1,0.159849985848,1,1,1
Sphyrna,tudes,42.75,15.25,1401:225:3,0.08,1,1,0.149448061138,0.540983606557,1,1
Sphyrna,tudes,42.75,15.75,1401:225:4,0.09,1,1,0.178141805831,0.491803278689,1,1
Sphyrna,tudes,42.25,16.25,1401:226:1,0.12,1,1,0.116685536371,1,1,1
Sphyrna,tudes,42.75,16.25,1401:226:3,0.03,0.75,1,0.124363147467,0.303278688525,1,1
Sphyrna,tudes,42.75,16.75,1401:226:4,0.02,1,1,0.134941975658,0.131147540984,1,1
Sphyrna,tudes,42.75,17.75,1401:227:4,0.02,1,1,0.118631474667,0.16393442623,1,1
Sphyrna,tudes,42.25,18.25,1401:228:1,0.04,1,1,0.0784390036796,0.532786885246,1,1
Sphyrna,tudes,42.25,18.75,1401:228:2,0.08,1,1,0.0763161619021,1,1,1
Sphyrna,tudes,42.75,18.25,1401:228:3,0.08,1,1,0.0763161619021,1,1,1
Sphyrna,tudes,42.25,19.25,1401:229:1,0.12,1,1,0.119692895556,1,1,1
Sphyrna,tudes,43.25,15.25,1401:235:1,0.09,1,1,0.150120294367,0.590163934426,1,1
Sphyrna,tudes,43.25,15.75,1401:235:2,0.10,1,1,0.159849985848,0.639344262295,1,1
Sphyrna,tudes,44.25,15.25,1401:245:1,0.16,1,1,0.206375601472,0.786885245902,1,1
Sphyrna,tudes,44.25,15.75,1401:245:2,0.06,0.5,1,0.291819983017,0.434426229508,1,1
Sphyrna,tudes,44.75,15.25,1401:245:3,0.15,0.5,1,0.291819983017,1,1,1
Sphyrna,tudes,45.25,12.75,1401:352:2,0.19,1,1,0.189782054911,1,1,1
Sphyrna,tudes,45.25,13.25,1401:353:1,0.14,1,1,0.142195018398,1,1,1
Sphyrna,tudes,45.25,13.75,1401:353:2,0.19,1,1,0.189782054911,1,1,1
Sphyrna,tudes,45.25,14.75,1401:354:2,0.10,1,1,0.189782054911,0.508196721311,1,1
Sphyrna,tudes,40.25,22.75,1402:102:2,0.17,1,1,0.172551655817,1,1,1
Sphyrna,tudes,40.25,23.25,1402:103:1,0.13,1,1,0.172551655817,0.745901639344,1,1
Sphyrna,tudes,40.25,23.75,1402:103:2,0.04,1,1,0.0417138409284,0.909836065574,1,1
Sphyrna,tudes,40.75,23.75,1402:103:4,0.16,1,1,0.258597509199,0.614754098361,1,1
Sphyrna,tudes,40.75,24.75,1402:104:4,0.04,1,1,0.04093546561,1,1,1
Sphyrna,tudes,40.25,25.25,1402:205:1,0.01,1,1,0.00912821964336,1,1,1
Sphyrna,tudes,40.75,25.75,1402:205:4,0.02,1,1,0.0177257288423,1,1,1
Sphyrna,tudes,40.75,26.25,1402:206:3,0.02,1,1,0.0177257288423,1,1,1
Sphyrna,tudes,40.25,27.25,1402:207:1,0.02,1,1,0.0177257288423,1,1,1
Sphyrna,tudes,-6.25,-34.75,5003:364:2,0.19,1,1,0.872650046168,0.22131147541,1,1
Sphyrna,tudes,-5.25,-35.25,5003:455:1,0.16,1,1,0.884128219643,0.180327868852,1,1
