Mapping parameters for Cybiosarda elegans (Leaping bonito)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 57 |  71 |  81,
Bounding Box (NSWE): ,-6,-41,108,158

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,50,66,123,200
Temperature (°C),1,16.5,20.23,28.06,32.26
Salinity (psu),1,33.65,34.15,35.61,36.51
Primary Production,1,81,225,974,1552
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,1,10,299,362
 

Map data (HSPEC) for predicted occurrences (n = 1160): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Cybiosarda,elegans,-8.75,143.75,3014:383:4,0.21,,,,,,
Cybiosarda,elegans,-9.25,142.75,3014:392:2,0.34,,,,,,
Cybiosarda,elegans,-8.75,146.25,3014:486:3,0.39,,,,,,
Cybiosarda,elegans,-8.75,150.75,3015:380:4,0.23,,,,,,
Cybiosarda,elegans,-7.75,156.25,3015:476:3,0.25,,,,,,
Cybiosarda,elegans,-11.25,124.25,3112:114:1,0.34,,,,,,
Cybiosarda,elegans,-11.75,129.75,3112:219:4,0.35,,,,,,
Cybiosarda,elegans,-13.25,126.25,3112:236:1,0.33,,,,,,
Cybiosarda,elegans,-17.75,120.25,3112:370:3,0.35,,,,,,
Cybiosarda,elegans,-11.25,130.25,3113:110:1,0.24,,,,,,
Cybiosarda,elegans,-11.75,131.75,3113:111:4,0.36,,,,,,
Cybiosarda,elegans,-10.25,135.25,3113:205:1,0.24,,,,,,
Cybiosarda,elegans,-10.25,136.75,3113:206:2,0.25,,,,,,
Cybiosarda,elegans,-10.75,136.25,3113:206:3,0.31,,,,,,
Cybiosarda,elegans,-10.25,139.25,3113:209:1,0.31,,,,,,
Cybiosarda,elegans,-12.25,135.75,3113:225:2,0.25,,,,,,
Cybiosarda,elegans,-15.75,137.75,3113:457:4,0.31,,,,,,
Cybiosarda,elegans,-16.75,139.75,3113:469:4,0.25,,,,,,
Cybiosarda,elegans,-10.25,140.25,3114:100:1,0.38,,,,,,
Cybiosarda,elegans,-15.25,141.25,3114:351:1,0.24,,,,,,
Cybiosarda,elegans,-16.25,140.75,3114:360:2,0.34,,,,,,
Cybiosarda,elegans,-17.75,146.25,3114:476:3,0.31,,,,,,
Cybiosarda,elegans,-19.75,148.75,3114:498:4,0.33,,,,,,
Cybiosarda,elegans,-19.75,151.75,3115:391:4,0.39,,,,,,
Cybiosarda,elegans,-22.75,113.25,3211:123:3,0.34,,,,,,
Cybiosarda,elegans,-24.25,112.25,3211:142:1,0.25,,,,,,
Cybiosarda,elegans,-26.25,112.25,3211:362:1,0.26,,,,,,
Cybiosarda,elegans,-20.25,149.75,3214:209:2,0.24,,,,,,
Cybiosarda,elegans,-20.75,149.75,3214:209:4,0.31,,,,,,
Cybiosarda,elegans,-21.75,149.75,3214:219:4,0.31,,,,,,
Cybiosarda,elegans,-23.75,151.75,3215:131:4,0.31,,,,,,
Cybiosarda,elegans,-34.25,119.75,3311:249:2,0.39,,,,,,
Cybiosarda,elegans,-34.75,119.75,3311:249:4,0.39,,,,,,
Cybiosarda,elegans,-35.25,116.25,3311:456:1,0.36,,,,,,
Cybiosarda,elegans,-35.25,116.75,3311:456:2,0.36,,,,,,
Cybiosarda,elegans,-35.25,117.25,3311:457:1,0.33,,,,,,
Cybiosarda,elegans,-35.25,117.75,3311:457:2,0.33,,,,,,
Cybiosarda,elegans,-35.25,118.25,3311:458:1,0.35,,,,,,
Cybiosarda,elegans,-35.25,118.75,3311:458:2,0.35,,,,,,
Cybiosarda,elegans,-31.75,128.75,3312:218:4,0.28,,,,,,
Cybiosarda,elegans,-32.75,124.25,3312:124:3,0.23,,,,,,
Cybiosarda,elegans,-32.75,124.75,3312:124:4,0.33,,,,,,
Cybiosarda,elegans,-33.75,121.25,3312:131:3,0.35,,,,,,
Cybiosarda,elegans,-33.75,121.75,3312:131:4,0.35,,,,,,
Cybiosarda,elegans,-33.75,123.25,3312:133:3,0.30,,,,,,
Cybiosarda,elegans,-33.75,123.75,3312:133:4,0.26,,,,,,
Cybiosarda,elegans,-33.25,124.25,3312:134:1,0.28,,,,,,
Cybiosarda,elegans,-33.25,124.75,3312:134:2,0.28,,,,,,
Cybiosarda,elegans,-33.75,124.75,3312:134:4,0.28,,,,,,
Cybiosarda,elegans,-34.25,120.25,3312:140:1,0.35,,,,,,
Cybiosarda,elegans,-34.25,120.75,3312:140:2,0.35,,,,,,
Cybiosarda,elegans,-34.75,120.25,3312:140:3,0.35,,,,,,
Cybiosarda,elegans,-34.25,121.25,3312:141:1,0.30,,,,,,
Cybiosarda,elegans,-34.25,121.75,3312:141:2,0.30,,,,,,
Cybiosarda,elegans,-34.75,121.75,3312:141:4,0.22,,,,,,
Cybiosarda,elegans,-34.25,122.25,3312:142:1,0.27,,,,,,
Cybiosarda,elegans,-34.25,122.75,3312:142:2,0.27,,,,,,
Cybiosarda,elegans,-34.75,122.25,3312:142:3,0.27,,,,,,
Cybiosarda,elegans,-34.75,122.75,3312:142:4,0.27,,,,,,
Cybiosarda,elegans,-34.25,123.25,3312:143:1,0.24,,,,,,
Cybiosarda,elegans,-34.25,123.75,3312:143:2,0.24,,,,,,
