Mapping parameters for Pegusa nasuta (Blackhand sole)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  37 ,
Bounding Box (NSWE): ,46,35,-6,42

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,14.4,15.11,19.35,22.16
Salinity (psu),1,17.6,18.1,38.47,39.255
Primary Production,1,384,389,792,1200
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,3,7,127,280.5
 

Map data (HSPEC) for predicted occurrences (n = 424): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Pegusa,nasuta,41.75,31.75,1403:111:4,0.43,1,1,1,0.42647058823529,1,1
Pegusa,nasuta,41.75,33.25,1403:113:3,0.40,1,0.91549295774648,1,0.43627450980392,1,1
Pegusa,nasuta,41.75,36.25,1403:216:3,0.43,1,1,1,0.42892156862745,1,1
Pegusa,nasuta,41.25,38.25,1403:218:1,0.48,1,1,0.82,0.58823529411765,1,1
Pegusa,nasuta,41.25,38.75,1403:218:2,0.54,1,1,0.82,0.65686274509804,1,1
Pegusa,nasuta,43.75,39.25,1403:239:3,0.53,1,1,0.94,0.56127450980392,1,1
Pegusa,nasuta,44.25,38.25,1403:248:1,0.57,1,1,0.94,0.61029411764706,1,1
Pegusa,nasuta,44.25,38.75,1403:248:2,0.47,1,1,0.94,0.50245098039216,1,1
Pegusa,nasuta,44.25,39.25,1403:249:1,0.40,1,1,0.94,0.42156862745098,1,1
Pegusa,nasuta,35.75,10.75,1301:350:4,0.71,1,0.70818505338078,1,1,1,1
Pegusa,nasuta,35.25,11.25,1301:351:1,0.73,1,0.73309608540925,1,1,1,1
Pegusa,nasuta,35.25,11.75,1301:351:2,0.73,1,0.73309608540925,1,1,1,1
Pegusa,nasuta,35.75,11.25,1301:351:3,0.73,1,0.73309608540925,1,1,1,1
Pegusa,nasuta,35.75,11.75,1301:351:4,0.73,1,0.73309608540925,1,1,1,1
Pegusa,nasuta,35.25,12.25,1301:352:1,0.73,1,0.72953736654804,1,1,1,1
Pegusa,nasuta,35.75,12.25,1301:352:3,0.73,1,0.72953736654804,1,1,1,1
Pegusa,nasuta,35.75,12.75,1301:352:4,0.73,1,0.72953736654804,1,1,1,1
Pegusa,nasuta,36.75,14.25,1301:364:3,0.74,1,0.74021352313167,1,1,1,1
Pegusa,nasuta,37.25,12.75,1301:372:2,0.64,0.68965517241379,0.93238434163701,1,1,1,1
Pegusa,nasuta,36.75,15.25,1301:465:3,0.70,1,0.70462633451957,1,1,1,1
Pegusa,nasuta,37.75,16.25,1301:476:3,0.79,1,0.79003558718861,1,1,1,1
Pegusa,nasuta,37.75,25.25,1302:475:3,0.71,1,1,0.70700636942675,1,1,1
Pegusa,nasuta,38.75,25.75,1302:485:4,0.60,1,1,1,0.6,1,1
Pegusa,nasuta,40.75,1.25,1400:101:3,0.66,0.6551724137931,1,1,1,1,1
Pegusa,nasuta,41.75,9.25,1400:219:3,0.60,1,1,1,0.6,1,1
