Mapping parameters for Isurus oxyrinchus (Shortfin mako)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  21 |  27 |  31 |  34 |  37 |  41 |  47 |  51 |  57 |  61 |  67 |  71 |  77 |  81 |  87 ,
Bounding Box (NSWE): ,61,-56,-180,180

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,100,150,740
Temperature (°C),1,0.62,1.12,14.22,28.2
Salinity (psu),1,28.8864,34.426,35.426,39.1
Primary Production,1,119,274,662,2521
Sea Ice Concentration,1,-1,0,0,0.02
Distance to Land (km),0,1,24,454,1239
 

Map data (HSPEC) for predicted occurrences (n = 13903): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Isurus,oxyrinchus,9.75,92.25,1009:392:3,0.13,0.125423728814,1,1,1,1,1
Isurus,oxyrinchus,9.75,93.25,1009:393:3,0.08,0.0847457627119,1,1,1,1,1
Isurus,oxyrinchus,5.75,96.75,1009:456:4,0.10,0.101694915254,1,1,0.957504034427,1,1
Isurus,oxyrinchus,5.25,97.75,1009:457:2,0.04,1,0.0593705293276,0.832442775652,0.814416352878,1,1
Isurus,oxyrinchus,5.25,98.25,1009:458:1,0.14,1,0.173819742489,0.895642284641,0.87573964497,1,1
Isurus,oxyrinchus,5.25,98.75,1009:458:2,0.13,1,0.173819742489,0.895642284641,0.86121570737,1,1
Isurus,oxyrinchus,5.25,99.75,1009:459:2,0.04,0.79,0.0829756795422,0.800148025128,0.713824636902,1,1
Isurus,oxyrinchus,5.75,99.25,1009:459:3,0.11,1,0.155937052933,0.875333959131,0.839160839161,1,1
Isurus,oxyrinchus,5.75,99.75,1009:459:4,0.03,0.69,0.0829756795422,0.800148025128,0.724045185584,1,1
Isurus,oxyrinchus,6.75,96.25,1009:466:3,0.15,0.154237288136,1,1,1,1,1
Isurus,oxyrinchus,6.25,97.25,1009:467:1,0.01,0.00847457627119,1,1,1,1,1
Isurus,oxyrinchus,6.75,98.75,1009:468:4,0.17,1,0.210300429185,0.904993140299,0.874663797741,1,1
Isurus,oxyrinchus,6.25,99.25,1009:469:1,0.04,0.98,0.065808297568,0.826088526247,0.743948359333,1,1
Isurus,oxyrinchus,7.25,98.75,1009:478:2,0.09,0.97,0.123032904149,0.823759838255,0.870360408822,1,1
Isurus,oxyrinchus,7.75,98.25,1009:478:3,0.09,1,0.123032904149,0.823759838255,0.927380311996,1,1
Isurus,oxyrinchus,8.75,97.75,1009:487:4,0.08,1,0.0994277539342,0.84157700917,0.957504034427,1,1
Isurus,oxyrinchus,9.25,97.75,1009:497:2,0.10,1,0.124463519313,0.888511805907,0.903711672942,1,1
Isurus,oxyrinchus,9.75,97.75,1009:497:4,0.02,0.93,0.0321888412017,0.796032204491,0.958579881657,1,1
Isurus,oxyrinchus,9.75,98.25,1009:498:3,0.01,1,0.0100143061516,0.764658098058,0.926842388381,1,1
Isurus,oxyrinchus,1.75,104.75,1010:114:4,0.03,0.62,0.0701001430615,0.807314607553,0.760623991393,1,1
Isurus,oxyrinchus,2.25,104.75,1010:124:2,0.03,0.7,0.0701001430615,0.807314607553,0.877353415815,1,1
Isurus,oxyrinchus,2.75,104.75,1010:124:4,0.04,0.72,0.0701001430615,0.807314607553,1,1,1
Isurus,oxyrinchus,3.25,100.25,1010:130:1,0.02,0.89,0.0643776824034,0.791988591234,0.476600322754,1,1
Isurus,oxyrinchus,3.25,100.75,1010:130:2,0.02,0.85,0.0643776824034,0.791988591234,0.372781065089,1,1
Isurus,oxyrinchus,3.75,100.25,1010:130:3,0.02,0.87,0.0643776824034,0.791988591234,0.473372781065,1,1
Isurus,oxyrinchus,3.25,104.25,1010:134:1,0.03,0.61,0.0665236051502,0.825420607986,0.972565895643,1,1
Isurus,oxyrinchus,3.25,104.75,1010:134:2,0.04,0.74,0.0665236051502,0.825420607986,1,1,1
Isurus,oxyrinchus,3.75,104.25,1010:134:3,0.03,0.63,0.0665236051502,0.825420607986,0.995696611081,1,1
Isurus,oxyrinchus,4.25,100.25,1010:140:1,0.02,0.72,0.0643776824034,0.791988591234,0.441635287789,1,1
Isurus,oxyrinchus,4.75,100.25,1010:140:3,0.01,0.62,0.0643776824034,0.791988591234,0.396449704142,1,1
Isurus,oxyrinchus,4.25,103.75,1010:143:2,0.04,0.76,0.0579399141631,0.851595783089,0.993006993007,1,1
Isurus,oxyrinchus,4.75,103.75,1010:143:4,0.01,0.63,0.0214592274678,0.824842948949,1,1,1
Isurus,oxyrinchus,4.25,104.25,1010:144:1,0.04,0.73,0.0579399141631,0.851595783089,1,1,1
Isurus,oxyrinchus,4.25,104.75,1010:144:2,0.16,0.84,0.206008583691,0.905913784389,1,1,1
Isurus,oxyrinchus,4.75,104.25,1010:144:3,0.04,0.72,0.0579399141631,0.851595783089,1,1,1
Isurus,oxyrinchus,4.75,104.75,1010:144:4,0.15,0.81,0.206008583691,0.905913784389,1,1,1
