Mapping parameters for Benthodesmus simonyi (Simony's frostfish)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas: 21 |  27 |  31 |  34,
Bounding Box (NSWE): ,72,16,-67,20

Pelagic: False,
Layer used to generate probabilities: Bottom,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,200,285,510,900
Temperature (°C),1,1.49,12.79,27.25,28.04
Salinity (psu),1,30.3,32.86,36.36,39.26
Primary Production,1,244,316,1036,1549
Sea Ice Concentration,1,0,0,0,0
Distance to Land (km),0,6,88,449,1025
 

Map data (HSPEC) for predicted occurrences (n = 808): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Benthodesmus,simonyi,62.75,-4.25,7600:124:3,0.14,1,0.584955752212,1,1,0.2315,1
Benthodesmus,simonyi,62.75,-2.75,7600:122:4,0.08,0.8153846153849998,0.618584070796,1,1,0.157388888889,1
Benthodesmus,simonyi,62.75,-2.25,7600:122:3,0.02,0.35641025641,0.618584070796,1,1,0.0787222222222,1
Benthodesmus,simonyi,62.25,-1.25,7600:121:1,0.07,0.197435897436,0.6380530973449999,1,1,0.537055555556,1
Benthodesmus,simonyi,61.75,-0.25,7600:110:3,0.05,1,0.697345132743,1,1,0.0740555555556,1
Benthodesmus,simonyi,60.75,-4.75,7600:104:4,0.15,0.205128205128,0.721238938053,1,1,1,1
Benthodesmus,simonyi,60.75,-1.75,7600:101:4,0.06,0.152941176471,0.7194690265489999,1,1,1,0.5853658536590001
Benthodesmus,simonyi,59.75,-29.75,7502:499:4,0.06,0.146153846154,0.586725663717,1,1,1,0.729166666667
Benthodesmus,simonyi,57.75,-19.75,7501:479:4,0.02,0.0307692307692,0.800884955752,1,1,1,0.664930555556
Benthodesmus,simonyi,57.75,-19.25,7501:479:3,0.17,0.320512820513,0.800884955752,1,1,1,0.666666666667
Benthodesmus,simonyi,57.25,-19.75,7501:479:2,0.17,0.358974358974,0.800884955752,1,1,1,0.583333333333
Benthodesmus,simonyi,57.25,-19.25,7501:479:1,0.04,0.0794871794872,0.800884955752,1,1,1,0.635416666667
Benthodesmus,simonyi,57.25,-15.75,7501:475:2,0.08,0.0974358974359,0.8026548672569999,1,1,1,0.994791666667
Benthodesmus,simonyi,56.75,-19.75,7501:469:4,0.16,0.330769230769,0.8353982300879998,1,1,1,0.5815972222220002
Benthodesmus,simonyi,55.75,-17.75,7501:457:4,0.01,0.0179487179487,0.874336283186,1,1,1,0.845486111111
Benthodesmus,simonyi,59.25,-13.25,7501:393:1,0.16,0.217948717949,0.746902654867,1,1,1,1
Benthodesmus,simonyi,59.75,-12.75,7501:392:4,0.08,0.105128205128,0.7530973451329999,1,1,1,1
Benthodesmus,simonyi,59.75,-12.25,7501:392:3,0.03,0.0461538461538,0.7530973451329999,1,1,1,1
Benthodesmus,simonyi,59.75,-11.25,7501:391:3,0.11,0.138461538462,0.7628318584069999,1,1,1,1
Benthodesmus,simonyi,59.25,-10.75,7501:390:2,0.12,0.151282051282,0.765486725664,1,1,1,1
Benthodesmus,simonyi,54.75,-17.75,7501:247:4,0.07,0.08461538461539998,0.912389380531,1,1,1,0.878472222222
Benthodesmus,simonyi,51.25,-13.25,7501:113:1,0.15,0.148717948718,1,1,1,1,1
Benthodesmus,simonyi,51.75,-12.75,7501:112:4,0.14,0.14358974359,0.994690265487,1,1,1,1
Benthodesmus,simonyi,51.25,-10.25,7501:110:1,0.18,0.188235294118,0.97610619469,1,0.9688109161790001,1,1
Benthodesmus,simonyi,57.75,-8.75,7500:478:4,0.06,0.682352941176,0.8353982300879998,1,1,1,0.109756097561
Benthodesmus,simonyi,57.75,-8.25,7500:478:3,0.01,0.0117647058824,0.8353982300879998,1,1,1,0.6463414634150001
Benthodesmus,simonyi,57.25,-7.25,7500:477:1,0.06,1,0.82389380531,1,1,1,0.0731707317073
Benthodesmus,simonyi,57.75,-6.25,7500:476:3,0.01,0.105882352941,0.8123893805309998,1,0.8674463937619998,1,0.0731707317073
Benthodesmus,simonyi,56.75,-7.75,7500:467:4,0.01,0.08235294117649998,0.8380530973449999,1,1,1,0.109756097561
Benthodesmus,simonyi,56.75,-7.25,7500:467:3,0.19,0.435294117647,0.8380530973449999,1,0.795321637427,1,0.670731707317
Benthodesmus,simonyi,56.25,-5.75,7500:465:2,0.02,0.364705882353,0.8123893805309998,1,1,1,0.0731707317073
Benthodesmus,simonyi,58.25,-3.25,7500:383:1,0.05,1,0.742477876106,1,1,1,0.060975609756099995
Benthodesmus,simonyi,42.25,-65.25,7406:225:1,0.17,1,0.725663716814,0.75,1,0.310166666667,1
Benthodesmus,simonyi,43.25,-61.75,7406:131:2,0.06,1,0.708849557522,0.59375,1,0.152777777778,1
Benthodesmus,simonyi,42.75,-64.75,7406:124:4,0.18,1,0.78407079646,0.79296875,0.961013645224,0.305555555556,1
Benthodesmus,simonyi,42.75,-63.75,7406:123:4,0.06,1,0.862831858407,0.84765625,1,0.0787222222222,1
Benthodesmus,simonyi,42.75,-61.25,7406:121:3,0.08,0.08461538461539998,0.975221238938,1,1,1,1
Benthodesmus,simonyi,44.75,-54.25,7405:144:3,0.05,1,0.630088495575,0.86328125,1,0.08333333333329998,1
Benthodesmus,simonyi,44.75,-53.75,7405:143:4,0.05,1,0.608849557522,0.859375,1,0.0879444444444,1
Benthodesmus,simonyi,44.25,-53.75,7405:143:2,0.17,1,0.608849557522,0.859375,1,0.319444444444,1
Benthodesmus,simonyi,45.75,-46.25,7404:456:3,0.15,0.635897435897,0.632743362832,1,1,0.462944444444,0.822916666667
Benthodesmus,simonyi,47.25,-44.75,7404:374:2,0.11,0.294117647059,0.607079646018,1,1,0.925944444444,0.666666666667
Benthodesmus,simonyi,48.25,-11.75,7401:381:2,0.07,0.0692307692308,1,1,1,1,1
Benthodesmus,simonyi,49.25,-9.75,7400:499:2,0.13,0.129411764706,1,1,1,1,1
Benthodesmus,simonyi,49.25,-9.25,7400:499:1,0.05,0.0470588235294,1,1,1,1,1
Benthodesmus,simonyi,48.25,-7.25,7400:487:1,0.05,0.0470588235294,1,1,1,1,1
Benthodesmus,simonyi,48.75,-2.75,7400:382:4,0.05,0.588235294118,1,1,0.896686159844,1,0.08536585365849998
Benthodesmus,simonyi,45.75,-2.75,7400:352:4,0.07,0.0705882352941,1,1,1,1,1
Benthodesmus,simonyi,44.25,-9.25,7400:249:1,0.03,0.0333333333333,1,1,1,1,1
Benthodesmus,simonyi,43.25,-9.25,7400:239:1,0.13,1,1,1,1,1,0.134146341463
Benthodesmus,simonyi,43.75,-8.25,7400:238:3,0.13,1,1,1,1,1,0.134146341463
Benthodesmus,simonyi,43.75,-7.25,7400:237:3,0.07,0.7529411764710001,1,1,1,1,0.0975609756098
