Mapping parameters for Lethrinus erythropterus (Longfin emperor)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 ,
Bounding Box (NSWE): ,25,-25,32,-173

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,2,4,14,25
Temperature (°C),1,24.17,27.75,29.24,33.44
Salinity (psu),1,31.94,33.09,34.75,35.975
Primary Production,1,250,267,966,1687
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,8,17,166,514
 

Map data (HSPEC) for predicted occurrences (n = 2901): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Lethrinus,erythropterus,19.75,105.75,1110:495:4,0.04,1,0.59776536312849,0.069565217391306,0.85575589459085,1,1
Lethrinus,erythropterus,19.25,106.25,1110:496:1,0.04,1,0.58100558659218,0.069565217391306,1,1,1
Lethrinus,erythropterus,19.75,106.25,1110:496:3,0.03,1,0.58100558659218,0.069565217391306,0.78085991678225,1,1
Lethrinus,erythropterus,19.25,108.75,1110:498:2,0.14,1,0.51675977653631,0.62608695652173,0.43828016643551,1,1
Lethrinus,erythropterus,19.75,109.25,1110:499:3,0.14,1,0.51117318435754,0.62608695652173,0.42579750346741,1,1
Lethrinus,erythropterus,19.75,109.75,1110:499:4,0.10,0.5,0.51117318435754,0.62608695652173,0.64077669902913,1,1
Lethrinus,erythropterus,10.75,115.75,1111:205:4,0.12,1,1,1,0.11764705882353,1,1
Lethrinus,erythropterus,20.25,70.75,1207:100:2,0.04,0.27272727272727,0.93016759776536,0.28163265306122,0.49237170596394,1,1
Lethrinus,erythropterus,21.25,72.25,1207:112:1,0.14,1,0.8659217877095,0.5265306122449,0.30513176144244,1,1
Lethrinus,erythropterus,21.75,72.25,1207:112:3,0.08,1,0.8659217877095,0.5265306122449,0.18030513176144,1,1
Lethrinus,erythropterus,21.75,72.75,1207:112:4,0.06,1,0.8659217877095,0.5265306122449,0.13176144244105,1,1
Lethrinus,erythropterus,20.25,106.25,1210:206:1,0.01,1,0.52793296089385,0.069565217391306,0.17198335644938,1,1
Lethrinus,erythropterus,20.25,106.75,1210:206:2,0.02,1,0.52793296089385,0.1304347826087,0.34674063800277,1,1
Lethrinus,erythropterus,20.75,106.75,1210:206:4,0.03,1,0.52793296089385,0.1304347826087,0.44382801664355,1,1
Lethrinus,erythropterus,20.25,107.75,1210:207:2,0.05,1,0.47206703910614,0.1304347826087,0.88488210818308,1,1
Lethrinus,erythropterus,20.75,107.25,1210:207:3,0.06,1,0.47206703910614,0.1304347826087,1,1,1
Lethrinus,erythropterus,20.75,107.75,1210:207:4,0.06,1,0.47206703910614,0.1304347826087,1,1,1
Lethrinus,erythropterus,20.75,108.25,1210:208:3,0.11,0.54545454545455,0.39385474860335,0.62608695652173,0.82246879334258,1,1
Lethrinus,erythropterus,20.25,109.25,1210:209:1,0.01,1,0.37150837988827,0.62608695652173,0.029126213592233,1,1
Lethrinus,erythropterus,20.75,109.75,1210:209:4,0.18,1,0.37150837988827,0.62608695652173,0.79056865464632,1,1
Lethrinus,erythropterus,21.25,107.75,1210:217:2,0.05,1,0.3854748603352,0.1304347826087,1,1,1
