Mapping parameters for Engraulis ringens (Anchoveta)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  87 ,
Bounding Box (NSWE): ,-5,-43,-82,-69

Pelagic: True,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,3,11,42,80
Temperature (°C),1,13,19.22,21.08,23
Salinity (psu),1,33.965,34.465,35.17,35.67
Primary Production,1,214,695,2300,3384.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),1,0,1,80,160
 

Map data (HSPEC) for predicted occurrences (n = 260): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Engraulis,ringens,-33.25,-77.75,5307:237:2,0.01,1,0.591639871383,0.41,0.677754677755,1,0.0625
Engraulis,ringens,-33.75,-77.75,5307:237:4,0.04,1,0.591639871383,0.41,0.665280665281,1,0.2625
Engraulis,ringens,-33.25,-78.25,5307:238:1,0.10,1,0.630225080386,0.51,0.615384615385,1,0.5125
Engraulis,ringens,-33.25,-78.75,5307:238:2,0.11,1,0.630225080386,0.51,0.474012474012,1,0.725
Engraulis,ringens,-33.75,-78.25,5307:238:3,0.17,1,0.630225080386,0.51,0.62577962578,1,0.8375
Engraulis,ringens,-33.75,-78.75,5307:238:4,0.17,1,0.630225080386,0.51,0.519750519751,1,1
Engraulis,ringens,-33.25,-79.25,5307:239:1,0.07,1,0.662379421222,0.63,0.328482328482,1,0.5125
Engraulis,ringens,-33.25,-79.75,5307:239:2,0.01,1,0.662379421222,0.63,0.261954261954,1,0.0625
Engraulis,ringens,-33.75,-79.25,5307:239:3,0.14,1,0.662379421222,0.63,0.405405405405,1,0.8375
Engraulis,ringens,-33.75,-79.75,5307:239:4,0.04,1,0.662379421222,0.63,0.326403326403,1,0.2625
Engraulis,ringens,-34.25,-77.75,5307:247:2,0.01,1,0.533762057878,0.27,0.656964656965,1,0.075
Engraulis,ringens,-34.25,-78.25,5307:248:1,0.07,1,0.570739549839,0.37,0.634095634096,1,0.525
Engraulis,ringens,-34.25,-78.75,5307:248:2,0.08,1,0.570739549839,0.37,0.513513513514,1,0.725
