Mapping parameters for Dentex maroccanus (Morocco dentex)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  27 |  34 |  37 ,
Bounding Box (NSWE): ,57,-5,-18,36

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,20,76,237,500
Temperature (°C),1,1.97,18.36,27.88,32.08
Salinity (psu),1,19.62,31.57,39,39.5
Primary Production,1,306,353,2485,3781
Sea Ice Concentration,1,-0.9990350877192999,0,0,0.04
Distance to Land (km),0,6,15,200,331
 

Map data (HSPEC) for predicted occurrences (n = 1753): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Dentex,maroccanus,54.25,6.75,1500:246:2,0.17,0.33928571428571,0.52410006101281,1,1,0.9695,1
Dentex,maroccanus,54.25,7.25,1500:247:1,0.18,0.39285714285714,0.51799877974375,1,1,0.9076875,1
Dentex,maroccanus,54.25,7.75,1500:247:2,0.17,0.44642857142857,0.51799877974375,1,1,0.75141675,1
Dentex,maroccanus,54.75,7.25,1500:247:3,0.18,0.375,0.51799877974375,1,1,0.9420625,1
Dentex,maroccanus,54.75,7.75,1500:247:4,0.05,0.125,0.51799877974375,1,1,0.81085425,1
Dentex,maroccanus,54.25,8.25,1500:248:1,0.09,0.23214285714286,0.5045759609518,1,1,0.75,1
Dentex,maroccanus,54.25,8.75,1500:248:2,0.07,0.57142857142857,0.5045759609518,1,1,0.25,1
Dentex,maroccanus,54.75,8.25,1500:248:3,0.06,0.25,0.5045759609518,1,1,0.5,1
Dentex,maroccanus,54.75,8.75,1500:248:4,0.14,0.55357142857143,0.5045759609518,1,1,0.5,1
Dentex,maroccanus,55.25,3.25,1500:353:1,0.14,0.28571428571429,0.49725442342892,1,1,0.974,1
Dentex,maroccanus,55.75,6.75,1500:456:4,0.19,0.39285714285714,0.50701647345943,1,1,0.95977075,1
Dentex,maroccanus,55.25,7.25,1500:457:1,0.09,0.21428571428571,0.5045759609518,1,1,0.8666875,1
Dentex,maroccanus,55.25,7.75,1500:457:2,0.05,0.17857142857143,0.5045759609518,1,1,0.5,1
Dentex,maroccanus,55.75,7.25,1500:457:3,0.13,0.28571428571429,0.5045759609518,1,1,0.90004175,1
Dentex,maroccanus,55.75,7.75,1500:457:4,0.09,0.25,0.5045759609518,1,1,0.75,1
Dentex,maroccanus,55.25,8.25,1500:458:1,0.08,0.33928571428571,0.49725442342892,1,1,0.5,1
Dentex,maroccanus,55.25,8.75,1500:458:2,0.17,0.46428571428571,0.49725442342892,1,1,0.75,1
Dentex,maroccanus,55.75,8.25,1500:458:3,0.13,0.33928571428571,0.49725442342892,1,1,0.75,1
Dentex,maroccanus,56.25,6.75,1500:466:2,0.18,0.39285714285714,0.49237339841367,1,1,0.9525,1
Dentex,maroccanus,56.25,7.25,1500:467:1,0.13,0.30357142857143,0.49237339841367,1,1,0.8615,1
Dentex,maroccanus,56.25,7.75,1500:467:2,0.10,0.26785714285714,0.49237339841367,1,1,0.75,1
Dentex,maroccanus,56.25,8.25,1500:468:1,0.12,0.33928571428571,0.48993288590604,1,1,0.75,1
Dentex,maroccanus,56.75,8.25,1500:468:3,0.09,0.375,0.48993288590604,1,1,0.5,1
Dentex,maroccanus,-2.75,0.75,3000:120:4,0.11,0.11406844106464,1,1,1,1,1
Dentex,maroccanus,4.25,-9.25,7000:249:1,0.18,0.19011406844106,0.97142857142857,1,1,1,1
Dentex,maroccanus,6.75,-10.75,7001:360:4,0.09,0.089285714285714,0.98333333333333,1,1,1,1
Dentex,maroccanus,9.75,-13.25,7001:393:3,0.02,0.017857142857143,1,1,1,1,1
Dentex,maroccanus,12.25,-16.25,7101:226:1,0.05,0.053571428571429,1,1,1,1,1
Dentex,maroccanus,13.75,-17.75,7101:237:4,0.02,0.015209125475285,1,1,1,1,1
Dentex,maroccanus,16.75,-16.25,7101:466:3,0.14,1,1,1,0.13888888888889,1,1
Dentex,maroccanus,16.75,-16.75,7101:466:4,0.06,1,1,1,0.060956790123457,1,1
Dentex,maroccanus,21.75,-17.75,7201:217:4,0.02,0.019011406844106,1,1,1,1,1
Dentex,maroccanus,23.25,-15.75,7201:235:2,0.16,0.16071428571429,1,1,1,1,1
Dentex,maroccanus,23.75,-17.25,7201:237:3,0.13,0.1254752851711,1,1,1,1,1
Dentex,maroccanus,31.75,-9.25,7300:219:3,0.02,0.017857142857143,1,1,1,1,1
Dentex,maroccanus,39.75,-8.75,7300:498:4,0.12,0.125,0.92434411226358,1,1,1,1
Dentex,maroccanus,30.25,-12.25,7301:102:1,0.19,0.18631178707224,1,1,1,1,1
Dentex,maroccanus,31.25,-10.75,7301:110:2,0.12,0.12167300380228,1,1,1,1,1
Dentex,maroccanus,33.75,-14.25,7301:134:3,0.11,1,1,1,0.1063829787234,1,1
Dentex,maroccanus,30.25,-16.25,7301:206:1,0.11,0.3384030418251,1,1,0.31914893617021,1,1
Dentex,maroccanus,32.75,-17.25,7301:227:3,0.11,1,1,1,0.1063829787234,1,1
Dentex,maroccanus,33.25,-16.25,7301:236:1,0.04,1,1,1,0.042553191489362,1,1
Dentex,maroccanus,44.25,-4.75,7400:144:2,0.16,0.19391634980989,0.84746796827334,1,1,1,1
Dentex,maroccanus,44.25,-5.25,7400:245:1,0.11,0.13307984790875,0.83648566198902,1,1,1,1
Dentex,maroccanus,47.25,-2.25,7400:372:1,0.01,0.017857142857143,0.73276388041489,1,1,1,1
Dentex,maroccanus,48.75,-1.25,7400:381:3,0.14,0.21428571428571,0.66137888956681,1,1,1,1
Dentex,maroccanus,48.75,-2.25,7400:382:3,0.12,0.17857142857143,0.68395363026236,1,1,1,1
Dentex,maroccanus,50.75,-2.25,7500:102:3,0.14,0.21428571428571,0.64124466137889,1,1,1,1
Dentex,maroccanus,53.25,-3.75,7500:133:2,0.14,1,0.54301403294692,1,1,0.25,1
Dentex,maroccanus,53.75,-3.25,7500:133:3,0.14,1,0.54301403294692,1,1,0.25,1
Dentex,maroccanus,54.75,-1.25,7500:141:3,0.12,1,0.48322147651007,1,1,0.25,1
Dentex,maroccanus,54.25,-2.75,7500:142:2,0.13,1,0.51006711409396,1,1,0.25,1
Dentex,maroccanus,54.75,-3.25,7500:143:3,0.13,1,0.53630262355095,1,1,0.25,1
Dentex,maroccanus,51.75,-9.25,7500:219:3,0.06,0.089285714285714,0.6418547895058,1,1,1,1
Dentex,maroccanus,52.75,-9.25,7500:229:3,0.17,0.26785714285714,0.62233068944478,1,1,1,1
Dentex,maroccanus,53.25,-8.75,7500:238:2,0.06,0.10714285714286,0.59182428309945,1,1,1,1
Dentex,maroccanus,54.25,-8.25,7500:248:1,0.09,0.16071428571429,0.57230018303844,1,1,1,1
Dentex,maroccanus,51.25,-11.75,7501:111:2,0.15,0.2319391634981,0.64856619890177,1,1,1,1
Dentex,maroccanus,51.25,-13.75,7501:113:2,0.14,0.20912547528517,0.66137888956681,1,1,1,1
Dentex,maroccanus,51.25,-14.25,7501:114:1,0.12,0.1787072243346,0.66320927394753,1,1,1,1
Dentex,maroccanus,51.25,-14.75,7501:114:2,0.11,0.17110266159696,0.66320927394753,1,1,1,1
Dentex,maroccanus,54.25,-12.25,7501:142:1,0.18,0.29657794676806,0.59853569249542,1,1,1,1
Dentex,maroccanus,56.25,-16.75,7501:466:2,0.18,0.32319391634981,0.54667480170836,1,1,1,1
Dentex,maroccanus,56.75,-16.75,7501:466:4,0.08,0.14068441064639,0.54667480170836,1,1,1,1
Dentex,maroccanus,3.75,9.75,1000:239:4,0.36,0.41071428571429,0.99761904761905,0.88535564853556,1,1,1
Dentex,maroccanus,38.25,9.25,1300:489:1,0.35,0.34980988593156,1,1,1,1,1
Dentex,maroccanus,32.75,12.75,1301:122:4,0.38,0.375,1,1,1,1,1
Dentex,maroccanus,32.75,13.25,1301:123:3,0.30,0.30357142857143,1,1,1,1,1
Dentex,maroccanus,33.25,11.25,1301:131:1,0.23,0.23214285714286,1,1,1,1,1
Dentex,maroccanus,33.25,11.75,1301:131:2,0.38,0.375,1,1,1,1,1
Dentex,maroccanus,33.75,11.25,1301:131:3,0.34,0.33928571428571,1,1,1,1,1
Dentex,maroccanus,31.75,15.75,1301:215:4,0.30,1,1,1,0.29787234042553,1,1
Dentex,maroccanus,31.75,16.25,1301:216:3,0.21,1,1,1,0.21276595744681,1,1
Dentex,maroccanus,31.75,17.75,1301:217:4,0.23,0.98098859315589,1,1,0.23404255319149,1,1
Dentex,maroccanus,32.25,19.25,1301:229:1,0.29,0.7680608365019,1,1,0.38297872340426,1,1
Dentex,maroccanus,32.25,19.75,1301:229:2,0.38,1,1,1,0.38297872340426,1,1
Dentex,maroccanus,34.25,15.75,1301:245:2,0.31,0.8212927756654,1,1,0.38297872340426,1,1
Dentex,maroccanus,34.25,16.75,1301:246:2,0.23,0.56273764258555,1,1,0.40425531914894,1,1
Dentex,maroccanus,35.75,15.75,1301:455:4,0.33,0.33079847908745,1,1,1,1,1
Dentex,maroccanus,35.25,16.25,1301:456:1,0.29,0.2851711026616,1,1,1,1,1
Dentex,maroccanus,30.75,20.25,1302:100:3,0.30,0.375,1,1,0.78723404255319,1,1
Dentex,maroccanus,31.25,20.25,1302:110:1,0.38,0.48214285714286,1,1,0.78723404255319,1,1
Dentex,maroccanus,32.25,20.25,1302:120:1,0.26,1,1,1,0.25531914893617,1,1
Dentex,maroccanus,32.75,20.25,1302:120:3,0.36,1,1,1,0.36170212765957,1,1
Dentex,maroccanus,32.25,24.25,1302:124:1,0.36,1,1,1,0.36170212765957,1,1
Dentex,maroccanus,32.25,24.75,1302:124:2,0.34,1,1,1,0.34042553191489,1,1
Dentex,maroccanus,33.25,22.25,1302:132:1,0.20,0.47148288973384,1,1,0.42553191489362,1,1
Dentex,maroccanus,33.25,22.75,1302:132:2,0.25,0.47528517110266,1,1,0.53191489361702,1,1
Dentex,maroccanus,33.25,23.25,1302:133:1,0.32,0.74904942965779,1,1,0.42553191489362,1,1
Dentex,maroccanus,34.75,24.75,1302:144:4,0.21,1,1,1,0.21276595744681,1,1
Dentex,maroccanus,31.75,25.25,1302:215:3,0.28,1,1,1,0.27659574468085,1,1
Dentex,maroccanus,31.75,25.75,1302:215:4,0.23,1,1,1,0.23404255319149,1,1
Dentex,maroccanus,31.75,29.75,1302:219:4,0.23,1,1,1,0.23404255319149,1,1
Dentex,maroccanus,35.75,24.75,1302:354:4,0.27,0.2851711026616,1,1,0.95744680851064,1,1
Dentex,maroccanus,36.25,23.75,1302:363:2,0.36,0.36121673003802,1,1,1,1,1
Dentex,maroccanus,36.25,24.25,1302:364:1,0.36,0.3574144486692,1,1,1,1,1
Dentex,maroccanus,38.75,20.25,1302:380:3,0.26,0.26235741444867,1,1,1,1,1
Dentex,maroccanus,38.25,24.25,1302:384:1,0.38,1,1,1,0.38297872340426,1,1
