Mapping parameters for Nemipterus theodorei (Theodore's threadfin bream)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 71 |  81,
Bounding Box (NSWE): ,-13,-36,145,158

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,19,64,198,410
Temperature (°C),1,20.15,23.27,26.42,30.62
Salinity (psu),1,34.32,34.82,35.82,36.32
Primary Production,1,81,166,766,1246
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,12,203,311
 

Map data (HSPEC) for predicted occurrences (n = 216): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Nemipterus,theodorei,-28.75,153.75,3215:383:4,1.00,,,,,,
Nemipterus,theodorei,-29.25,153.25,3215:393:1,1.00,,,,,,
Nemipterus,theodorei,-29.25,153.75,3215:393:2,1.00,,,,,,
Nemipterus,theodorei,-29.75,153.25,3215:393:3,1.00,,,,,,
Nemipterus,theodorei,-29.75,153.75,3215:393:4,1.00,,,,,,
Nemipterus,theodorei,-27.75,155.75,3215:475:4,1.00,,,,,,
Nemipterus,theodorei,-30.25,153.25,3315:103:1,0.89,,,,,,
Nemipterus,theodorei,-30.25,153.75,3315:103:2,0.89,,,,,,
Nemipterus,theodorei,-30.75,153.25,3315:103:3,0.89,,,,,,


Occurrence cells used for creating environmental envelope (n = 81)
Genus,Species,Center Lat,Center Long,C-Square,Depth,SST,Salinity,Primary Production,Sea Ice Conc.,Distance to Land
Nemipterus,theodorei,-35.25,153.75,3315:353:2,4870,20.15,35.61,563,0,299
Nemipterus,theodorei,-34.25,151.75,3315:141:2,1787,20.72,35.61,624,0,85
Nemipterus,theodorei,-33.75,151.75,3315:131:4,335,21.15,35.61,535,0,69
Nemipterus,theodorei,-33.75,151.25,3315:131:3,38,21.15,35.61,702,0,12
Nemipterus,theodorei,-33.25,151.75,3315:131:2,80,21.15,35.61,658,0,21
Nemipterus,theodorei,-33.25,151.25,3315:131:1,2,21.15,35.61,538,0,1
Nemipterus,theodorei,-29.75,153.75,3215:393:4,782,23.27,35.61,551,0,72
Nemipterus,theodorei,-29.75,153.25,3215:393:3,26,23.27,35.52,728,0,10
Nemipterus,theodorei,-29.25,153.75,3215:393:2,298,23.27,35.61,702,0,50
Nemipterus,theodorei,-29.25,153.25,3215:393:1,19,23.27,35.61,740,0,6
Nemipterus,theodorei,-28.75,153.75,3215:383:4,219,23.57,35.59,532,0,21
Nemipterus,theodorei,-28.25,153.25,3215:383:1,3,23.57,35.59,593,0,0
Nemipterus,theodorei,-27.25,153.25,3215:373:1,11,23.83,35.36,715,0,17
Nemipterus,theodorei,-26.75,153.25,3215:363:3,30,24.05,35.36,526,0,19
Nemipterus,theodorei,-26.25,153.75,3215:363:2,263,24.05,35.36,291,0,75
Nemipterus,theodorei,-26.25,153.25,3215:363:1,46,24.05,35.36,230,0,20
Nemipterus,theodorei,-25.75,153.75,3215:353:4,211,24.28,35.31,347,0,89
Nemipterus,theodorei,-24.75,153.25,3215:143:3,40,24.56,35.36,393,0,24
Nemipterus,theodorei,-24.25,152.75,3215:142:2,39,24.65,35.43,281,0,90
Nemipterus,theodorei,-24.25,152.25,3215:142:1,57,24.65,35.43,108,0,25
Nemipterus,theodorei,-24.25,151.75,3215:141:2,12,24.57,35.45,451,0,5
Nemipterus,theodorei,-23.75,152.75,3215:132:4,277,24.77,35.43,508,0,125
Nemipterus,theodorei,-23.75,152.25,3215:132:3,31,24.77,35.43,490,0,90
Nemipterus,theodorei,-23.75,151.75,3215:131:4,19,24.65,35.45,334,0,50
Nemipterus,theodorei,-23.25,152.25,3215:132:1,128,24.77,35.43,576,0,125
Nemipterus,theodorei,-23.25,151.75,3215:131:2,9,24.65,35.45,147,0,97
Nemipterus,theodorei,-23.25,151.25,3215:131:1,18,24.65,35.45,346,0,25
Nemipterus,theodorei,-23.25,150.75,3215:130:2,9,24.6,35.45,673,0,10
Nemipterus,theodorei,-22.75,152.75,3215:122:4,183,25.04,35.38,604,0,201
Nemipterus,theodorei,-22.75,151.75,3215:121:4,24,24.84,35.38,796,0,127
Nemipterus,theodorei,-22.75,151.25,3215:121:3,33,24.84,35.38,842,0,91
Nemipterus,theodorei,-22.75,150.75,3215:120:4,18,24.67,35.38,712,0,12
Nemipterus,theodorei,-22.25,152.75,3215:122:2,38,25.04,35.38,632,0,241
Nemipterus,theodorei,-22.25,152.25,3215:122:1,33,25.04,35.38,716,0,203
Nemipterus,theodorei,-22.25,151.75,3215:121:2,52,24.84,35.38,736,0,154
Nemipterus,theodorei,-22.25,151.25,3215:121:1,54,24.84,35.38,792,0,103
Nemipterus,theodorei,-22.25,150.75,3215:120:2,20,24.67,35.27,974,0,25
Nemipterus,theodorei,-21.75,152.25,3215:112:3,2,25.38,35.31,378,0,216
Nemipterus,theodorei,-21.75,151.75,3215:111:4,8,25.2,35.31,755,0,169
Nemipterus,theodorei,-21.75,151.25,3215:111:3,19,25.2,35.31,810,0,128
Nemipterus,theodorei,-21.75,150.75,3215:110:4,38,25,35.27,766,0,107
Nemipterus,theodorei,-21.75,150.25,3215:110:3,5,25,35.27,711,0,91
Nemipterus,theodorei,-21.75,152.75,3215:112:4,13,25.38,35.31,525,0,265
Nemipterus,theodorei,-21.25,152.75,3215:112:2,40,25.38,35.31,472,0,286
Nemipterus,theodorei,-21.25,151.75,3215:111:2,3,25.2,35.31,441,0,204
Nemipterus,theodorei,-21.25,151.25,3215:111:1,2,25.2,35.31,265,0,155
Nemipterus,theodorei,-21.25,150.75,3215:110:2,12,25,35.27,519,0,104
Nemipterus,theodorei,-21.25,150.25,3215:110:1,29,25,35.27,721,0,26
Nemipterus,theodorei,-21.25,149.75,3214:219:2,6,24.86,35.11,532,0,26
Nemipterus,theodorei,-20.75,150.75,3215:100:4,2,25.46,35.2,957,0,128
Nemipterus,theodorei,-20.75,150.25,3215:100:3,5,25.46,35.2,809,0,108
Nemipterus,theodorei,-20.75,149.75,3214:209:4,22,25.38,35.11,362,0,92
Nemipterus,theodorei,-20.75,149.25,3214:209:3,8,25.38,35.11,200,0,25
Nemipterus,theodorei,-20.25,150.75,3215:100:2,29,25.46,35.2,499,0,175
Nemipterus,theodorei,-20.25,149.75,3214:209:2,18,25.38,35.11,127,0,126
Nemipterus,theodorei,-20.25,149.25,3214:209:1,26,25.38,35.11,81,0,92
Nemipterus,theodorei,-20.25,148.75,3214:208:2,5,25.52,35.02,276,0,16
Nemipterus,theodorei,-19.75,149.25,3114:499:3,15,25.82,35.13,225,0,126
Nemipterus,theodorei,-19.75,148.75,3114:498:4,33,25.88,35.02,139,0,92
Nemipterus,theodorei,-19.75,148.25,3114:498:3,28,25.88,35.02,174,0,24
Nemipterus,theodorei,-19.75,147.75,3114:497:4,19,26.01,35.02,437,0,14
Nemipterus,theodorei,-19.25,149.25,3114:499:1,71,25.82,35.13,265,0,166
Nemipterus,theodorei,-19.25,148.25,3114:498:1,8,25.88,35.02,100,0,92
Nemipterus,theodorei,-19.25,147.75,3114:497:2,27,26.01,35.06,266,0,26
Nemipterus,theodorei,-19.25,147.25,3114:497:1,27,26.01,35.06,599,0,19
Nemipterus,theodorei,-18.75,148.25,3114:488:3,221,26.15,35.11,439,0,127
Nemipterus,theodorei,-18.75,147.75,3114:487:4,27,26.21,35.06,359,0,97
Nemipterus,theodorei,-18.75,147.25,3114:487:3,22,26.21,35.06,164,0,85
Nemipterus,theodorei,-18.75,146.75,3114:486:4,23,26.29,35.06,166,0,26
Nemipterus,theodorei,-18.25,146.75,3114:486:2,14,26.29,34.99,211,0,79
Nemipterus,theodorei,-18.25,146.25,3114:486:1,19,26.29,34.99,343,0,20
Nemipterus,theodorei,-18.25,147.25,3114:487:1,129,26.21,35.06,415,0,129
Nemipterus,theodorei,-17.75,146.75,3114:476:4,102,26.42,34.99,526,0,79
Nemipterus,theodorei,-17.75,146.25,3114:476:3,14,26.42,34.99,284,0,21
Nemipterus,theodorei,-17.25,146.75,3114:476:2,580,26.42,34.99,522,0,93
Nemipterus,theodorei,-17.25,146.25,3114:476:1,15,26.42,34.99,309,0,25
Nemipterus,theodorei,-16.75,148.75,3114:468:4,928,26.66,35.15,301,0,311
Nemipterus,theodorei,-16.75,146.25,3114:466:3,144,26.6,35.04,594,0,80
Nemipterus,theodorei,-16.75,145.75,3114:465:4,25,26.63,35.04,432,0,16
Nemipterus,theodorei,-15.25,145.75,3114:455:2,474,26.74,35.04,615,0,80
Nemipterus,theodorei,-15.25,145.25,3114:455:1,11,26.74,35.04,529,0,13
