Mapping parameters for Epinephelus fuscoguttatus (Brown-marbled grouper)

"Cite AquaMaps itself as: Kaschner, K., K. Kesner-Reyes, C. Garilao, J. Rius-Barile, T. Rees, and R. Froese. 2015. 
	AquaMaps: Predicted range maps for aquatic species. World wide web electronic publication, www.aquamaps.org, Version 08/2015. "

Map type: Expert-reviewed,
Map Option: In FAO and Bounding Box
FAOAreas:  51 |  57 |  61 |  71 |  77 ,
Bounding Box (NSWE): ,28.5,-27,33,-171

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,1,7,31,60
Temperature (°C),1,24.69,25.11,29.08,33.28
Salinity (psu),1,27.5,32.45,36.24,38.9
Primary Production,1,69,250,1223,1446
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,0,15,166,1065
 

Map data (HSPEC) for predicted occurrences (n = 3970): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,Temperature,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Epinephelus,fuscoguttatus,21.75,115.25,1211:215:3,0.03,0.03448275862069,1,1,1,1,1
Epinephelus,fuscoguttatus,23.25,116.75,1211:236:2,0.03,1,0.071428571428566,1,0.42152466367713,1,1
Epinephelus,fuscoguttatus,23.75,116.75,1211:236:4,0.05,1,0.071428571428566,1,0.73542600896861,1,1
Epinephelus,fuscoguttatus,-5.75,39.75,3003:459:4,0.07,0.068965517241379,1,1,1,1,1
Epinephelus,fuscoguttatus,-0.75,41.75,3004:101:4,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,-0.25,42.25,3004:102:1,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,-1.75,40.75,3004:110:4,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,-2.75,40.25,3004:120:3,0.09,1,1,1,0.089686098654709,1,1
Epinephelus,fuscoguttatus,-0.25,99.75,3009:209:2,0.01,1,0.94761904761905,1,0.013452914798206,1,1
Epinephelus,fuscoguttatus,-0.25,104.75,3010:104:2,0.17,1,1,0.73131313131313,0.22869955156951,1,1
Epinephelus,fuscoguttatus,-3.75,101.75,3010:131:4,0.03,1,0.99285714285714,1,0.031390134529148,1,1
Epinephelus,fuscoguttatus,-2.25,109.25,3010:229:1,0.17,1,1,1,0.17488789237668,1,1
Epinephelus,fuscoguttatus,-3.75,109.75,3010:239:4,0.08,1,1,1,0.076233183856502,1,1
Epinephelus,fuscoguttatus,-1.25,110.25,3011:110:1,0.06,1,1,0.9959595959596,0.062780269058296,1,1
Epinephelus,fuscoguttatus,-4.25,110.25,3011:140:1,0.18,1,1,1,0.17937219730942,1,1
Epinephelus,fuscoguttatus,-4.25,111.75,3011:141:2,0.12,0.96551724137931,1,1,0.12556053811659,1,1
Epinephelus,fuscoguttatus,-6.25,114.25,3011:364:1,0.14,0.13793103448276,1,1,1,1,1
Epinephelus,fuscoguttatus,-5.75,116.25,3011:456:3,0.14,0.13793103448276,1,1,1,1,1
Epinephelus,fuscoguttatus,-1.75,121.25,3012:111:3,0.16,0.16666666666667,0.96666666666667,1,1,1,1
Epinephelus,fuscoguttatus,-2.75,121.75,3012:121:4,0.16,0.16666666666667,0.98809523809524,1,1,1,1
Epinephelus,fuscoguttatus,-9.75,129.25,3012:499:3,0.10,0.10344827586207,1,1,1,1,1
Epinephelus,fuscoguttatus,-2.75,133.25,3013:123:3,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,-2.75,133.75,3013:123:4,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,-9.25,136.75,3013:496:2,0.01,0.96551724137931,1,1,0.0089686098654709,1,1
Epinephelus,fuscoguttatus,-9.25,137.25,3013:497:1,0.18,0.89655172413793,1,1,0.20179372197309,1,1
Epinephelus,fuscoguttatus,-8.25,142.75,3014:382:2,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,-9.75,152.75,3015:392:4,0.07,0.068965517241379,1,1,1,1,1
Epinephelus,fuscoguttatus,-12.25,40.25,3104:120:1,0.17,0.16666666666667,1,1,1,1,1
Epinephelus,fuscoguttatus,-12.75,50.25,3105:120:3,0.07,0.068965517241379,1,1,1,1,1
Epinephelus,fuscoguttatus,-14.25,60.75,3106:140:2,0.06,1,1,1,0.05524861878453,1,1
Epinephelus,fuscoguttatus,-14.75,60.75,3106:140:4,0.06,1,1,1,0.060773480662983,1,1
Epinephelus,fuscoguttatus,-16.75,119.25,3111:469:3,0.14,0.13793103448276,1,1,1,1,1
Epinephelus,fuscoguttatus,-19.75,115.75,3111:495:4,0.14,0.13793103448276,1,1,1,1,1
Epinephelus,fuscoguttatus,-12.75,125.75,3112:225:4,0.07,0.068965517241379,1,1,1,1,1
Epinephelus,fuscoguttatus,-12.75,127.75,3112:227:4,0.10,0.10344827586207,1,1,1,1,1
Epinephelus,fuscoguttatus,-12.75,129.25,3112:229:3,0.07,0.068965517241379,1,1,1,1,1
Epinephelus,fuscoguttatus,-13.25,125.25,3112:235:1,0.17,0.17241379310345,1,1,1,1,1
